country,code,year,meningitis,alzheimer.s_diesease,parkinson.s_disease,nutritional_deficiency,malaria,drowning,interpersonal_violence,maternal_disorders,hiv.aids,drug_use_disorders,tuberculosis,cardiovascular_diseases,lower_respiratory_infections,neonatal_disorders,alcohol_use_disorders,self_harm,exposure_to_forces_of_nature,diarrheal_diseases,environmental_heat_and_cold_exposure,neoplasms,conflict_and_terrorism,diabetes_mellitus,chronic_kidney_disease,poisonings,protein_energy_malnutrition,road_injuries,chronic_respiratory_diseases,chronic_liver_diseases,digestive_diseases,fire_heat_hot_substance,acute_hepatitis
Uzbekistan,UZB,2019,175,1119,544,41,0,1597,974,228,585,188,2445,107394,10787,5257,156,3793,0,161,178,22338,0,8154,3971,368,9,4929,3837,13042,15019,684,130
Denmark,DNK,2019,31,2703,600,81,0,32,43,1,24,198,27,15330,2473,110,817,668,0,372,14,18488,0,1434,1133,10,48,294,4572,955,2684,75,2
Namibia,NAM,2019,100,228,53,189,192,73,438,77,3772,6,831,3747,1461,882,28,261,0,696,17,1600,0,790,349,29,184,575,791,339,729,88,8
Bosnia and Herzegovina,BIH,2019,9,1080,328,5,0,48,84,1,2,11,120,18828,414,74,90,366,0,8,14,9482,0,2290,658,13,2,195,1204,593,1235,53,3
Equatorial Guinea,GNQ,2019,55,65,16,31,768,14,55,56,2118,5,193,960,363,453,7,77,0,121,3,602,0,223,139,10,29,282,157,126,234,14,3
Rwanda,RWA,2019,995,772,158,1142,3386,212,461,839,3065,19,3960,11826,5641,5635,123,759,0,3661,51,7143,1,1916,1266,184,1095,2402,2520,2599,4297,219,178
Chad,TCD,2019,4623,715,209,2454,7194,619,1234,3239,4695,14,6990,13837,19447,17347,88,996,0,30372,133,6250,276,1720,1817,358,2376,2576,2761,2886,5147,470,409
Maldives,MDV,2019,2,48,11,5,0,20,10,7,1,2,14,522,35,75,1,20,0,11,0,214,0,52,89,0,3,22,123,33,49,5,0
Afghanistan,AFG,2019,1563,1775,560,1244,530,1687,5015,4038,318,406,3627,61995,18697,23701,147,1613,128,4320,59,21247,24295,4817,5637,525,1210,8254,7082,3797,6929,485,1940
Dominica,DMA,2019,1,19,6,2,0,4,8,1,5,0,3,242,30,11,4,4,0,2,0,182,0,57,43,1,2,12,22,11,25,2,0
Vietnam,VNM,2019,747,19460,4259,954,59,6098,1267,234,6399,1176,18681,240161,21345,6468,1000,8114,5,1672,82,112564,0,29391,21485,935,95,24153,36229,23637,31306,608,674
Bolivia,BOL,2019,134,1393,569,894,0,464,615,557,732,56,1550,15905,6570,3809,368,743,58,688,21,14035,0,3797,4425,70,810,2037,3578,3319,5832,174,19
Suriname,SUR,2019,7,109,25,15,0,28,49,11,100,3,10,1423,163,131,16,145,0,38,1,716,0,267,262,2,13,102,117,127,251,12,1
Palau,PLW,2019,0,2,1,0,0,2,2,0,2,0,1,65,18,1,0,3,0,2,0,36,0,23,13,0,0,3,17,4,6,1,0
Tanzania,TZA,2019,3765,3644,754,6887,17014,1270,3462,5506,27125,193,20170,54489,32990,39594,350,3231,0,15742,242,31417,19,8430,6232,1020,6613,5824,7001,8547,14522,1198,637
Comoros,COM,2019,70,85,18,66,174,14,67,26,2,2,329,1143,450,380,6,41,8,278,5,544,0,163,117,12,62,151,167,161,299,16,12
Democratic Republic of Congo,COD,2019,6147,4384,864,6355,57160,1963,2891,10119,10238,217,46145,89906,44646,42976,672,5980,0,34003,324,36862,1630,11354,8034,1268,6029,29543,19997,14393,24531,1405,1027
Taiwan,TWN,2019,105,8755,2050,126,0,508,343,19,171,518,905,41061,13067,334,415,4299,0,131,25,56953,0,11324,8248,78,116,3905,9969,7287,11756,144,10
United States,USA,2019,1146,143919,32211,6090,0,3615,17709,990,7053,65717,978,957455,81921,10994,14044,45349,105,11727,1378,773895,31,77719,106954,1528,5710,41362,224988,67286,129343,3616,131
Tonga,TON,2019,5,18,5,4,0,5,2,2,2,0,5,178,34,12,1,5,0,3,0,127,0,82,32,1,3,10,42,19,37,3,4
Cook Islands,COK,2019,0,4,2,0,0,1,0,0,2,0,0,58,10,0,0,2,0,1,0,32,0,27,7,0,0,4,8,2,5,0,0
Brazil,BRA,2019,2008,54594,9564,8221,118,6110,65907,1935,15561,1127,5485,397993,88641,29661,9705,13503,22,7514,76,266014,0,65366,42336,190,7648,44529,76551,38029,78484,1661,237
Ukraine,UKR,2019,399,16370,3586,139,0,3436,5279,81,6643,1477,4043,449376,8734,1305,7716,13690,0,83,2733,99218,227,2821,2660,1539,67,6980,12181,20141,30240,2198,72
Samoa,WSM,2019,2,28,10,4,0,13,12,1,13,1,13,539,63,17,2,25,0,11,1,155,0,124,61,1,4,33,105,30,55,2,1
Nigeria,NGA,2019,44914,12113,3334,5496,191106,3153,12958,17650,82270,274,45278,163496,172978,195397,1221,7970,0,181138,927,81558,3086,24473,20045,3640,4996,18508,24506,40381,70077,4017,2540
Serbia,SRB,2019,27,2567,840,20,0,100,203,7,48,72,128,63769,1571,172,376,1535,0,41,50,28444,0,3710,2517,35,11,729,3865,1401,4245,103,4
Angola,AGO,2019,2520,1143,267,3015,10784,793,974,2069,16802,80,11752,25724,12783,18189,211,1928,30,12936,114,12791,16,4033,2464,433,2906,9253,3934,5666,8971,513,246
Guatemala,GTM,2019,242,1941,406,1847,0,407,6293,505,669,218,419,15882,9875,2834,1769,953,0,2916,41,12605,0,6671,6018,245,1744,2795,2529,5521,8570,176,15
Uruguay,URY,2019,14,1497,349,134,0,71,212,10,177,16,56,10003,1595,148,111,666,0,166,6,10084,0,895,989,16,104,560,2155,471,1546,67,1
Papua New Guinea,PNG,2019,599,402,199,205,928,379,983,770,3830,25,1538,15540,6311,4363,99,289,10,3116,29,5645,0,4697,741,152,202,2232,7154,660,1368,717,91
Northern Mariana Islands,MNP,2019,0,5,2,1,0,3,3,0,1,0,1,116,11,2,2,8,0,2,0,80,0,27,24,0,1,6,17,13,19,0,0
Bahrain,BHR,2019,3,74,21,4,0,12,27,5,7,3,11,1271,83,33,6,77,0,11,1,817,0,708,176,2,3,177,161,138,212,15,4
Eswatini,SWZ,2019,73,55,17,92,9,52,235,26,3321,4,637,1519,721,440,10,226,0,481,11,979,0,682,269,22,90,397,319,190,347,53,6
Seychelles,SYC,2019,2,18,6,2,0,12,5,1,4,1,4,242,77,8,1,9,0,5,0,181,0,26,44,1,2,16,31,33,51,2,0
Grenada,GRD,2019,0,16,5,2,0,6,6,1,5,1,1,263,47,11,4,5,0,1,0,188,0,75,50,0,2,10,19,18,37,2,0
India,IND,2019,34736,129011,45305,26868,33372,54046,40954,41843,46298,8465,422634,2574410,433661,438004,23261,195336,2065,632345,11348,932587,688,273089,222922,3945,13384,211975,1168381,270037,464914,25876,30987
Ghana,GHA,2019,3487,1942,490,1973,21597,545,774,1518,14621,58,10223,39650,16306,16014,231,2065,0,6562,131,18509,20,6173,4679,433,1858,5806,5938,6125,10229,612,285
Indonesia,IDN,2019,4715,24381,7616,20348,637,5011,2261,5264,5603,589,76549,651481,44317,38125,653,7658,621,59589,132,229524,57,106333,42131,940,18641,37004,100930,88670,126348,1455,5560
Panama,PAN,2019,36,1054,190,126,0,126,625,53,540,19,188,5318,818,360,32,199,0,186,2,3984,0,1217,1154,9,119,530,877,503,935,23,1
Ethiopia,ETH,2019,11283,6433,1230,8989,13104,1745,7175,7634,26591,217,29874,76975,46301,77436,647,5655,0,50773,694,39600,165,12873,9860,2623,8603,9212,13727,22772,35185,2101,1626
Saint Kitts and Nevis,KNA,2019,1,8,3,4,0,2,10,1,32,0,1,157,20,6,11,2,0,3,0,99,0,33,32,0,3,6,11,12,24,2,0
Armenia,ARM,2019,5,873,169,4,0,44,153,8,19,10,73,13507,546,156,69,287,0,13,47,5834,0,1235,449,18,1,240,1323,1114,1720,45,2
Marshall Islands,MHL,2019,1,3,2,1,0,6,4,2,4,0,8,156,20,10,1,12,0,5,0,54,0,36,17,0,1,11,26,10,17,1,0
Uganda,UGA,2019,3941,1854,417,3937,22587,751,2378,2121,20762,46,13886,28149,16497,30955,261,2167,0,10955,152,21648,61,5033,3386,545,3824,5563,5480,5189,9155,616,390
Cyprus,CYP,2019,3,324,94,7,0,26,21,0,5,17,5,3112,169,25,9,67,0,22,3,2291,0,490,335,3,6,134,541,140,364,9,1
Cambodia,KHM,2019,129,1794,442,532,57,1048,495,477,1416,37,6046,30313,12066,4440,133,785,0,1718,5,14553,2,3631,2193,72,457,2911,4959,8388,12188,213,310
