PLAYER,POSITION,AtBat,Hits,AVG,BattingHand
Gregg Zaun,Catcher,245,58,0.237,L
Henry Blanco,Catcher,120,35,0.292,L
Rod Barajas,Catcher,349,87,0.249,L
Yorvit Torrealba,Catcher,236,58,0.246,L
Ivan Rodriguez,Catcher,398,110,0.276,L
A.J. Pierzynski,Catcher,534,150,0.281,L
Gerald Laird,Catcher,344,95,0.276,L
Rob Bowen,Catcher,91,16,0.176,L
Ronny Paulino,Catcher,118,25,0.212,L
Brian Schneider,Catcher,335,86,0.257,L
Corky Miller,Catcher,60,5,0.083,L
Yadier Molina,Catcher,444,135,0.304,L
Ryan Doumit,Catcher,431,137,0.318,L
Kenji Johjima,Catcher,379,86,0.227,R
Carlos Ruiz,Catcher,320,70,0.219,R
Geovany Soto,Catcher,494,141,0.285,R
Jose Molina,Catcher,268,58,0.216,R
Josh Bard,Catcher,178,36,0.202,R
Victor Martinez,Catcher,266,74,0.278,R
Miguel Olivo,Catcher,306,78,0.255,R
Jamie Burke,Catcher,92,24,0.261,R
Mike Napoli,Catcher,227,62,0.273,R
Joe Mauer,Catcher,536,176,0.328,R
Miguel Montero,Catcher,184,47,0.255,R
Chris Snyder,Catcher,334,79,0.237,R
Russell Martin,Catcher,553,155,0.28,R
Brian McCann,Catcher,509,153,0.301,R
Jesus Flores,Catcher,301,77,0.256,R
Paul Lo Duca,Catcher,173,42,0.243,R
Michael Barrett,Catcher,94,19,0.202,R
Bengie Molina,Catcher,530,155,0.292,R
Toby Hall,Catcher,127,33,0.26,R
Jorge Posada,Catcher,168,45,0.268,R
Robby Hammock,Catcher,42,8,0.19,R
Guillermo Quiroz,Catcher,134,25,0.187,R
Paul Bako,Catcher,299,65,0.217,R
Mike Redmond,Catcher,129,37,0.287,R
Jason LaRue,Catcher,164,35,0.213,R
Brandon Inge,Catcher,347,71,0.205,R
Jeff Mathis,Catcher,283,55,0.194,R
Humberto Quintero,Catcher,168,38,0.226,R
Brad Ausmus,Catcher,216,47,0.218,R
Johnny Estrada,Catcher,53,9,0.17,R
Jason Varitek,Catcher,423,93,0.22,R
John Buck,Catcher,370,83,0.224,R
Kelly Shoppach,Catcher,352,92,0.261,R
Ramon Castro,Catcher,143,35,0.245,R
Jason Kendall,Catcher,516,127,0.246,R
Ramon Hernandez,Catcher,463,119,0.257,R
Kevin Cash,Catcher,142,32,0.225,R
Chris Coste,Catcher,274,72,0.263,R
Dioner Navarro,Catcher,427,126,0.295,R
Matt Treanor,Catcher,206,49,0.238,R
David Eckstein,Shortstop,324,86,0.265,R
Jason Bartlett,Shortstop,454,130,0.286,R
Maicer Izturis,Shortstop,290,78,0.269,R
Ryan Theriot,Shortstop,580,178,0.307,R
John McDonald,Shortstop,186,39,0.21,R
Brendan Harris,Shortstop,434,115,0.265,R
Hanley Ramirez,Shortstop,589,177,0.301,R
Eric Bruntlett,Shortstop,212,46,0.217,R
Julio Lugo,Shortstop,261,70,0.268,R
Alex Cora,Shortstop,152,41,0.27,R
Cesar Izturis,Shortstop,414,109,0.263,R
Jeff Keppinger,Shortstop,459,122,0.266,R
Jhonny Peralta,Shortstop,605,167,0.276,R
Yunel Escobar,Shortstop,514,148,0.288,R
Jimmy Rollins,Shortstop,556,154,0.277,R
Miguel Tejada,Shortstop,632,179,0.283,R
Michael Young,Shortstop,645,183,0.284,R
Luis Rivas,Shortstop,206,45,0.218,R
Erick Aybar,Shortstop,346,96,0.277,R
Tony Pena,Shortstop,225,38,0.169,R
Rafael Furcal,Shortstop,143,51,0.357,R
Orlando Cabrera,Shortstop,661,186,0.281,R
Marco Scutaro,Shortstop,517,138,0.267,R
Omar Vizquel,Shortstop,266,59,0.222,R
Cristian Guzman,Shortstop,579,183,0.316,R
Derek Jeter,Shortstop,596,179,0.3,R
Khalil Greene,Shortstop,389,83,0.213,L
Stephen Drew,Shortstop,611,178,0.291,L
Jack Wilson,Shortstop,305,83,0.272,L
Ramon Santiago,Shortstop,124,35,0.282,L
J.J. Hardy,Shortstop,569,161,0.283,L
Jose Reyes,Shortstop,688,204,0.297,L
Yuniesky Betancourt,Shortstop,559,156,0.279,L
Troy Tulowitzki,Shortstop,377,99,0.263,L
Adam Everett,Shortstop,127,27,0.213,L
Edgar Renteria,Shortstop,503,136,0.27,L
Nick Punto,Shortstop,338,96,0.284,L
Juan Castro,Shortstop,161,31,0.193,L
Nomar Garciaparra,Shortstop,163,43,0.264,L
Bobby Crosby,Shortstop,556,132,0.237,L
Rich Aurilia,First-Baseman,407,115,0.283,L
Paul Konerko,First-Baseman,438,105,0.24,L
Nick Swisher,First-Baseman,497,109,0.219,L
Ryan Howard,First-Baseman,610,153,0.251,L
Albert Pujols,First-Baseman,524,187,0.357,L
Sean Casey,First-Baseman,199,64,0.322,L
Carlos Delgado,First-Baseman,598,162,0.271,L
Casey Kotchman,First-Baseman,525,143,0.272,L
Kevin Millar,First-Baseman,531,124,0.234,L
Aaron Boone,First-Baseman,232,56,0.241,L
