"position","wealth","industry","full_name","age","country_of_residence","city_of_residence","source","citizenship","gender"
1,211000,"Fashion & Retail","Bernard Arnault & family",74,"France","Paris","LVMH","France","M"
2,180000,"Automotive","Elon Musk",51,"United States","Austin","Tesla, SpaceX","United States","M"
3,114000,"Technology","Jeff Bezos",59,"United States","Medina","Amazon","United States","M"
4,107000,"Technology","Larry Ellison",78,"United States","Lanai","Oracle","United States","M"
5,106000,"Finance & Investments","Warren Buffett",92,"United States","Omaha","Berkshire Hathaway","United States","M"
6,104000,"Technology","Bill Gates",67,"United States","Medina","Microsoft","United States","M"
7,94500,"Media & Entertainment","Michael Bloomberg",81,"United States","New York","Bloomberg LP","United States","M"
8,93000,"Telecom","Carlos Slim Helu & family",83,"Mexico","Mexico City","Telecom","Mexico","M"
9,83400,"Diversified","Mukesh Ambani",65,"India","Mumbai","Diversified","India","M"
10,80700,"Technology","Steve Ballmer",67,"United States","Hunts Point","Microsoft","United States","M"
11,80500,"Fashion & Retail","Francoise Bettencourt Meyers & family",69,"France","Paris","L'Oréal","France","F"
12,79200,"Technology","Larry Page",50,"United States","Palo Alto","Google","United States","M"
13,77300,"Fashion & Retail","Amancio Ortega",87,"Spain","La Coruna","Zara","Spain","M"
14,76000,"Technology","Sergey Brin",49,"United States","Los Altos","Google","United States","M"
15,68000,"Food & Beverage","Zhong Shanshan",68,"China","Hangzhou","Beverages, pharmaceuticals","China","M"
16,64400,"Technology","Mark Zuckerberg",38,"United States","Palo Alto","Facebook","United States","M"
17,59000,"Diversified","Charles Koch & family",87,"United States","Wichita","Koch Industries","United States","M"
17,59000,"Diversified","Julia Koch & family",60,"United States","New York","Koch Industries","United States","F"
19,58800,"Fashion & Retail","Jim Walton",74,"United States","Bentonville","Walmart","United States","M"
20,57600,"Fashion & Retail","Rob Walton & family",78,"United States","Bentonville","Walmart","United States","M"
21,56700,"Fashion & Retail","Alice Walton",73,"United States","Fort Worth","Walmart","United States","F"
22,54400,"Media & Entertainment","David Thomson & family",65,"Canada","Toronto","Media","Canada","M"
