Show,Type,Revival,NYT rating,DN rating,Tony awards,Tony nominations,Week 1 attendance,Show run
A Dolls House,Play,Yes,5,2.66667,4,4,87.13,Less than 6 months
A Thousand Clowns,Play,Yes,1.66667,2,0,0,100,Less than 6 months
A View From the Bridge,Play,Yes,4.66667,2.33333,2,4,88.44,6-12 months
Ah Wilderness,Play,Yes,3.66667,4.66667,0,2,68.14,Less than 6 months
Amys View,Play,No,3.66667,4.66667,1,2,90.72,Less than 6 months
An American Daughter,Play,No,2.33333,2.33333,1,1,77.09,Less than 6 months
Annie,Musical,Yes,1.66667,3,0,1,84.8,6-12 months
Annie Get Your Gun,Musical,Yes,2,4.33333,2,3,89.2,1-2 years
Art,Play,No,4.66667,4.66667,1,3,90.35,1-2 years
Band in Berlin,Musical,No,1.66667,3.33333,0,0,48.38,Less than 6 months
Barrymore,Play,No,4.33333,3.66667,1,1,53.69,6-12 months
Cabaret,Musical,Yes,3.66667,5,4,6,92.19,More than 3 years
Candide,Musical,Yes,3,1.33333,0,3,82.61,Less than 6 months
Chicago,Musical,Yes,5,5,4,5,97.02,More than 3 years
Closer,Play,No,1.66667,2.66667,0,1,88.91,Less than 6 months
Death of a Salesman,Play,Yes,5,5,4,6,86.67,6-12 months
Dream The Johnny Mercer Musical,Musical revue,No,1.66667,2,0,0,72.53,Less than 6 months
Electra,Play,Yes,4.66667,4.33333,0,3,92.97,Less than 6 months
Eugene Onegin,Musical,Yes,,,0,0,40.66,Less than 6 months
Footloose,Musical,No,1.33333,1.33333,0,1,70.07,1-2 years
Forever Tango,Musical revue,No,2.66667,4,0,0,76.97,1-2 years
Fosse,Musical revue,No,3,4,1,5,97.24,2-3 years
Getting and Spending,Play,No,1.66667,1.66667,0,0,30.83,Less than 6 months
God Said Ha,Play,No,4.66667,2.33333,0,0,50.1,Less than 6 months
Golden Child,Play,No,2,1.66667,0,2,40.04,Less than 6 months
High Society,Musical,No,1.66667,2,0,2,64.87,Less than 6 months
Honour,Play,No,3.33333,3.33333,0,2,46.75,Less than 6 months
Hughie,Play,Yes,4,2,0,0,101.58,Less than 6 months
Into the Whirlwind,Play,No,,,0,0,,Less than 6 months
It Aint Nothin But the Blues,Musical revue,No,4.33333,4.33333,0,3,49.4,6-12 months
Ivanov,Play,Yes,4,1.66667,0,1,92.1,Less than 6 months
Jackie An American Life,Play,No,2.33333,1.66667,0,0,34.74,Less than 6 months
Jekyll and Hyde,Musical,No,1.66667,4,0,1,67.76,More than 3 years
Juan Darien A Carnival Mass,Musical,No,3.66667,4,0,2,50.76,Less than 6 months
King David,Musical,No,2,2.33333,0,0,68.75,Less than 6 months
Little Me,Musical,Yes,3,2.66667,1,2,90.61,Less than 6 months
London Assurance,Play,Yes,4.66667,5,0,3,95.54,Less than 6 months
Marlene,Musical,No,1.66667,2,0,1,56.26,Less than 6 months
More to Love,Play,No,1.33333,2,0,0,,Less than 6 months
Night Must Fall,Play,Yes,4.33333,1.66667,0,0,73.27,Less than 6 months
Not About Nightingales,Play,No,4.33333,4,0,4,81.77,Less than 6 months
On the Town,Musical,Yes,1.66667,1.66667,0,1,77.31,Less than 6 months
Once Upon a Mattress,Musical,Yes,2,3.33333,0,1,91.71,Less than 6 months
Parade,Musical,No,2,4.66667,0,4,62.87,Less than 6 months
Peter Pan,Musical,Yes,3.33333,3.33333,0,1,93.2,6-12 months
Play On,Musical,No,2.33333,2.66667,0,2,79.9,Less than 6 months
Present Laughter,Play,Yes,3,2,0,1,83.33,Less than 6 months
Proposals,Play,No,2,3,0,0,56.94,Less than 6 months
Ragtime,Musical,No,3,5,1,6,90.97,1-2 years
Ring Around the Moon,Play,Yes,1.33333,1.33333,0,1,46.92,Less than 6 months
Rolling on the T.O.B.A.,Musical revue,No,3.66667,3.66667,0,0,,Less than 6 months
Sex and Longing,Play,No,2.66667,1,0,0,87.56,Less than 6 months
Side Man,Play,No,4.66667,5,2,2,92.41,1-2 years
Side Show,Musical,No,4.33333,2.33333,0,2,61.93,Less than 6 months
Skylight,Play,No,4.66667,4.66667,0,4,96.89,Less than 6 months
Stanley,Play,No,3.66667,2.33333,0,3,96.65,Less than 6 months
Steel Pier,Musical,No,1.66667,2,0,6,82.31,Less than 6 months
Street Corner Symphony,Musical revue,No,1.66667,2.33333,0,0,54.75,Less than 6 months
Summer and Smoke,Play,Yes,1,,0,0,96.69,Less than 6 months
Swan Lake,Musical,Yes,3.66667,2.33333,1,2,86.04,Less than 6 months
Taking Sides,Play,No,2,4,0,0,80.88,Less than 6 months
The Beauty Queen of Leenane,Play,No,5,5,4,6,87.23,6-12 months
The Blue Room,Play,No,3,5,0,0,97.29,Less than 6 months
The Capeman,Musical,No,1.66667,2.33333,0,0,70.36,Less than 6 months
The Chairs,Play,Yes,5,4.66667,0,4,65.22,Less than 6 months
The Cherry Orchard,Play,Yes,5,5,0,0,60,Less than 6 months
The Civil War: An American Musical,Musical,No,1.33333,2.66667,0,1,57.3,Less than 6 months
The Deep Blue Sea,Play,Yes,2,2,0,0,88.2,Less than 6 months
The Diary of Anne Frank,Play,Yes,1.66667,3.33333,0,2,71.75,6-12 months
The Gershwins Fascinating Rhythm,Musical revue,No,1,1.66667,0,0,60.59,Less than 6 months
The Gin Game,Play,Yes,4.66667,5,0,3,71.9,Less than 6 months
The Herbal Bed,Play,No,2,1.66667,0,0,29.35,Less than 6 months
The Iceman Cometh,Play,Yes,4,5,0,3,99.94,Less than 6 months
The Judas Kiss,Play,No,1.66667,3.66667,0,0,79.69,Less than 6 months
The Last Night of Ballyhoo,Play,No,3,4.33333,1,4,81.39,1-2 years
The Life,Musical,No,2.33333,2,2,6,44.08,1-2 years
The Lion in Winter,Play,Yes,2,1.66667,0,1,92.21,Less than 6 months
The Lion King,Musical,No,3.33333,5,2,4,96.63,More than 3 years
The Little Foxes,Play,Yes,1.66667,2,0,1,74.4,Less than 6 months
The Lonesome West,Play,No,2.66667,5,0,4,42.33,Less than 6 months
The Old Neighborhood,Play,No,5,3,0,0,83.91,Less than 6 months
The Rehearsal,Play,Yes,2,1.33333,0,0,73.85,Less than 6 months
The Scarlet Pimpernel,Musical,No,2,2.66667,0,2,92.78,1-2 years
The Sound of Music,Musical,Yes,2.66667,2,0,1,87.43,1-2 years
The Sunshine Boys,Play,Yes,4.33333,5,0,0,65.21,6-12 months
The Three Sisters1,Play,Yes,4.66667,1.66667,0,0,,Less than 6 months
The Three Sisters2,Play,Yes,3,1.66667,0,0,100,Less than 6 months
The Weir,Play,No,5,4.66667,0,0,91.91,6-12 months
The Young Man From Atlanta,Play,No,3.33333,5,0,3,56.99,Less than 6 months
Titanic,Musical,No,2,3,1,1,71.26,1-2 years
Triumph of Love,Musical,No,2,4.33333,0,1,77.28,Less than 6 months
Twelfth Night,Play,Yes,3,5,0,1,97.47,Less than 6 months
Wait Until Dark,Play,Yes,1.66667,1,0,0,92.44,Less than 6 months
Youre a Good Man Charlie Brown,Musical,Yes,2,2,2,4,54.05,Less than 6 months
1776,Musical,Yes,4.33333,5,0,3,99.15,6-12 months
