Compactness,WallArea,RoofArea,Height,Orientation,WindowArea,WindowDistribution,CoolingLoad
0.98,294,110.25,7,NorthFacing,0,None,26.2425
0.98,294,110.25,7,SouthFacing,0,None,20.2682
0.98,294,110.25,7,EastFacing,0,None,22.1888
0.98,294,110.25,7,WestFacing,0,None,24.2053
0.9,318.5,122.5,7,NorthFacing,0,None,28.4243
0.9,318.5,122.5,7,SouthFacing,0,None,27.7174
0.9,318.5,122.5,7,EastFacing,0,None,28.205
0.9,318.5,122.5,7,WestFacing,0,None,31.7925
0.86,294,147,7,NorthFacing,0,None,30.2729
0.86,294,147,7,SouthFacing,0,None,24.6628
0.86,294,147,7,EastFacing,0,None,29.0072
0.86,294,147,7,WestFacing,0,None,25.8867
0.82,318.5,147,7,NorthFacing,0,None,30.8127
0.82,318.5,147,7,SouthFacing,0,None,19.9445
0.82,318.5,147,7,EastFacing,0,None,29.665
0.82,318.5,147,7,WestFacing,0,None,28.328
0.79,343,147,7,NorthFacing,0,None,23.7782
0.79,343,147,7,SouthFacing,0,None,26.3119
0.79,343,147,7,EastFacing,0,None,30.2119
0.79,343,147,7,WestFacing,0,None,27.9684
0.76,416.5,122.5,7,NorthFacing,0,None,27.1709
0.76,416.5,122.5,7,SouthFacing,0,None,32.2053
0.76,416.5,122.5,7,EastFacing,0,None,33.4477
0.76,416.5,122.5,7,WestFacing,0,None,28.9779
0.74,245,220.5,3.5,NorthFacing,0,None,11.5344
0.74,245,220.5,3.5,SouthFacing,0,None,11.81
0.74,245,220.5,3.5,EastFacing,0,None,2.9431
0.74,245,220.5,3.5,WestFacing,0,None,5.5083
0.71,269.5,220.5,3.5,NorthFacing,0,None,12.7295
0.71,269.5,220.5,3.5,SouthFacing,0,None,9.406
0.71,269.5,220.5,3.5,EastFacing,0,None,10.4512
0.71,269.5,220.5,3.5,WestFacing,0,None,10.8412
0.69,294,220.5,3.5,NorthFacing,0,None,9.7808
0.69,294,220.5,3.5,SouthFacing,0,None,11.6912
0.69,294,220.5,3.5,EastFacing,0,None,6.7658
0.69,294,220.5,3.5,WestFacing,0,None,11.9349
0.66,318.5,220.5,3.5,NorthFacing,0,None,12.4132
0.66,318.5,220.5,3.5,SouthFacing,0,None,11.5259
0.66,318.5,220.5,3.5,EastFacing,0,None,17.0326
0.66,318.5,220.5,3.5,WestFacing,0,None,10.655
0.64,343,220.5,3.5,NorthFacing,0,None,5.3474
0.64,343,220.5,3.5,SouthFacing,0,None,17.3487
0.64,343,220.5,3.5,EastFacing,0,None,13.7763
0.64,343,220.5,3.5,WestFacing,0,None,10.3845
0.62,367.5,220.5,3.5,NorthFacing,0,None,9.4831
0.62,367.5,220.5,3.5,SouthFacing,0,None,9.6957
0.62,367.5,220.5,3.5,EastFacing,0,None,4.6663
0.62,367.5,220.5,3.5,WestFacing,0,None,13.1499
0.98,294,110.25,7,NorthFacing,0.1,UniformWindows,22.1374
0.98,294,110.25,7,SouthFacing,0.1,UniformWindows,27.7492
0.98,294,110.25,7,EastFacing,0.1,UniformWindows,26.2694
0.98,294,110.25,7,WestFacing,0.1,UniformWindows,22.4925
0.9,318.5,122.5,7,NorthFacing,0.1,UniformWindows,29.4726
0.9,318.5,122.5,7,SouthFacing,0.1,UniformWindows,29.6487
0.9,318.5,122.5,7,EastFacing,0.1,UniformWindows,27.4268
0.9,318.5,122.5,7,WestFacing,0.1,UniformWindows,26.087
0.86,294,147,7,NorthFacing,0.1,UniformWindows,32.5891
0.86,294,147,7,SouthFacing,0.1,UniformWindows,26.4337
0.86,294,147,7,EastFacing,0.1,UniformWindows,27.5532
