VisitIDNumber CorrectOrder TimeOfVisit
1 Accurate 7:13
2 Accurate 12:19
3 Accurate 11:44
4 Accurate 6:31
5 Accurate 4:12
6 Accurate 5:52
7 Accurate 4:23
8 Accurate 12:02
9 Accurate 1:59
10 Accurate 5:49
11 Accurate 12:01
12 Accurate 5:52
13 Inaccurate 12:31
14 Accurate 5:49
15 Accurate 2:25
16 Accurate 5:06
17 Accurate 11:37
18 Accurate 11:59
19 Accurate 12:38
20 Accurate 6:41
21 Accurate 12:53
22 Accurate 12:34
23 Accurate 11:42
24 Accurate 4:07
25 Accurate 6:34
26 Accurate 5:03
27 Accurate 2:22
28 Accurate 6:08
29 Accurate 6:57
30 Accurate 12:39
31 Accurate 5:44
32 Accurate 11:46
33 Accurate 2:07
34 Accurate 5:38
35 Accurate 5:28
36 Accurate 7:08
37 Accurate 6:25
38 Accurate 7:20
39 Inaccurate 2:02
40 Accurate 5:53
41 Accurate 5:17
42 Accurate 12:48
43 Accurate 6:51
44 Accurate 5:53
45 Accurate 11:46
46 Accurate 12:49
47 Accurate 1:41
48 Inaccurate 7:22
49 Accurate 1:12
50 Accurate 12:38
51 Accurate 4:43
52 Accurate 1:37
53 Accurate 12:30
54 Accurate 6:16
55 Accurate 6:45
56 Accurate 11:44
57 Accurate 6:47
58 Accurate 5:24
59 Accurate 5:11
60 Accurate 5:15
61 Inaccurate 4:50
62 Accurate 2:03
63 Accurate 11:13
64 Accurate 6:10
65 Accurate 12:08
66 Accurate 4:15
67 Inaccurate 12:50
68 Accurate 1:41
69 Accurate 11:56
70 Accurate 11:51
71 Accurate 4:30
72 Accurate 5:38
73 Accurate 12:05
74 Accurate 12:58
75 Accurate 7:01
76 Accurate 12:31
77 Inaccurate 2:13
78 Accurate 1:46
79 Accurate 4:08
80 Accurate 5:47
81 Accurate 1:32
82 Inaccurate 6:37
83 Accurate 6:50
84 Accurate 11:52
85 Accurate 5:42
86 Accurate 1:44
87 Accurate 5:47
88 Accurate 5:56
89 Accurate 7:20
90 Accurate 5:26
91 Accurate 5:58
92 Accurate 7:02
93 Accurate 11:34
94 Accurate 11:29
95 Accurate 1:29
96 Accurate 1:47
97 Accurate 12:22
98 Accurate 4:19
99 Accurate 2:16
100 Accurate 6:09
101 Accurate 4:42
102 Accurate 5:37
103 Accurate 1:23
104 Accurate 7:26
105 Accurate 5:50
106 Accurate 7:09
107 Accurate 6:28
108 Accurate 5:18
109 Accurate 4:59
110 Accurate 4:25
111 Accurate 7:04
112 Accurate 6:28
113 Accurate 12:06
114 Accurate 4:48
115 Accurate 7:00
116 Accurate 4:13
117 Accurate 5:10
118 Accurate 5:08
119 Accurate 6:29
120 Accurate 2:08
121 Accurate 5:49
122 Accurate 11:24
123 Accurate 5:10
124 Accurate 5:17
125 Accurate 5:02
126 Accurate 5:51
