Crash,Distracted,Age
1,Other Distracted,15-19
2,Other Distracted,15-19
3,Other Distracted,15-19
4,Other Distracted,15-19
5,Other Distracted,15-19
6,Other Distracted,15-19
7,Other Distracted,15-19
8,Other Distracted,15-19
9,Other Distracted,15-19
10,Other Distracted,15-19
11,Other Distracted,15-19
12,Other Distracted,15-19
13,Other Distracted,15-19
14,Other Distracted,15-19
15,Other Distracted,15-19
16,Other Distracted,15-19
17,Other Distracted,15-19
18,Other Distracted,15-19
19,Other Distracted,15-19
20,Other Distracted,15-19
21,Other Distracted,15-19
22,Other Distracted,15-19
23,Other Distracted,15-19
24,Other Distracted,15-19
25,Other Distracted,15-19
26,Other Distracted,15-19
27,Other Distracted,15-19
28,Other Distracted,15-19
29,Other Distracted,15-19
30,Other Distracted,15-19
31,Other Distracted,15-19
32,Other Distracted,15-19
33,Other Distracted,15-19
34,Other Distracted,15-19
35,Other Distracted,15-19
36,Other Distracted,15-19
37,Other Distracted,15-19
38,Other Distracted,15-19
39,Other Distracted,15-19
40,Other Distracted,15-19
41,Other Distracted,15-19
42,Other Distracted,15-19
43,Other Distracted,15-19
44,Other Distracted,15-19
45,Other Distracted,15-19
46,Other Distracted,15-19
47,Other Distracted,15-19
48,Other Distracted,15-19
49,Other Distracted,15-19
50,Other Distracted,15-19
51,Other Distracted,15-19
52,Other Distracted,15-19
53,Other Distracted,15-19
54,Other Distracted,15-19
55,Other Distracted,15-19
56,Other Distracted,15-19
57,Other Distracted,15-19
58,Other Distracted,15-19
59,Other Distracted,15-19
60,Other Distracted,15-19
61,Other Distracted,15-19
62,Other Distracted,15-19
63,Other Distracted,15-19
64,Other Distracted,15-19
65,Other Distracted,15-19
66,Other Distracted,15-19
67,Other Distracted,15-19
68,Other Distracted,15-19
69,Other Distracted,15-19
70,Other Distracted,15-19
71,Other Distracted,15-19
72,Other Distracted,15-19
73,Other Distracted,15-19
74,Other Distracted,15-19
75,Other Distracted,15-19
76,Other Distracted,15-19
77,Other Distracted,15-19
78,Other Distracted,15-19
79,Other Distracted,15-19
80,Other Distracted,15-19
81,Other Distracted,15-19
82,Other Distracted,15-19
83,Other Distracted,15-19
84,Other Distracted,15-19
85,Other Distracted,15-19
86,Other Distracted,15-19
87,Other Distracted,15-19
88,Other Distracted,15-19
89,Other Distracted,15-19
90,Other Distracted,15-19
91,Other Distracted,15-19
92,Other Distracted,15-19
93,Other Distracted,15-19
94,Other Distracted,15-19
95,Other Distracted,15-19
96,Other Distracted,15-19
97,Other Distracted,15-19
98,Other Distracted,15-19
99,Other Distracted,15-19
100,Other Distracted,15-19
101,Other Distracted,15-19
102,Other Distracted,15-19
103,Other Distracted,15-19
104,Other Distracted,15-19
105,Other Distracted,15-19
106,Other Distracted,15-19
107,Other Distracted,15-19
108,Other Distracted,15-19
109,Other Distracted,15-19
110,Other Distracted,15-19
111,Other Distracted,15-19
112,Other Distracted,15-19
113,Other Distracted,15-19
114,Other Distracted,15-19
115,Other Distracted,15-19
116,Other Distracted,15-19
117,Other Distracted,15-19
118,Other Distracted,15-19
119,Other Distracted,15-19
120,Other Distracted,15-19
121,Other Distracted,15-19
122,Other Distracted,15-19
123,Other Distracted,15-19
124,Other Distracted,15-19
125,Other Distracted,15-19
126,Other Distracted,15-19
127,Other Distracted,15-19
128,Other Distracted,15-19
129,Other Distracted,15-19
130,Other Distracted,15-19
131,Other Distracted,15-19
132,Other Distracted,15-19
133,Other Distracted,15-19
134,Other Distracted,15-19
135,Other Distracted,15-19
136,Other Distracted,15-19
137,Other Distracted,15-19
138,Other Distracted,15-19
139,Other Distracted,15-19
140,Other Distracted,15-19
141,Other Distracted,15-19
142,Other Distracted,15-19
143,Other Distracted,15-19
144,Other Distracted,15-19
145,Other Distracted,15-19
146,Other Distracted,15-19
147,Other Distracted,15-19
148,Other Distracted,15-19
149,Other Distracted,15-19
150,Other Distracted,15-19
151,Other Distracted,15-19
152,Other Distracted,15-19
153,Other Distracted,15-19
154,Other Distracted,15-19
155,Other Distracted,15-19
156,Other Distracted,15-19
157,Other Distracted,15-19
158,Other Distracted,15-19
159,Other Distracted,15-19
160,Other Distracted,15-19
161,Other Distracted,15-19
162,Other Distracted,15-19
163,Other Distracted,15-19
164,Other Distracted,15-19
165,Other Distracted,15-19
166,Other Distracted,15-19
167,Other Distracted,15-19
168,Other Distracted,15-19
169,Other Distracted,15-19
170,Other Distracted,15-19
171,Other Distracted,15-19
172,Other Distracted,15-19
173,Other Distracted,15-19
174,Other Distracted,15-19
175,Other Distracted,15-19
176,Other Distracted,15-19
177,Other Distracted,15-19
178,Other Distracted,15-19
179,Other Distracted,15-19
180,Other Distracted,15-19
181,Other Distracted,15-19
182,Other Distracted,15-19
183,Other Distracted,15-19
184,Other Distracted,15-19
185,Other Distracted,15-19
186,Other Distracted,15-19
187,Other Distracted,15-19
188,Other Distracted,15-19
189,Other Distracted,15-19
190,Other Distracted,15-19
191,Other Distracted,15-19
192,Other Distracted,15-19
193,Other Distracted,15-19
194,Other Distracted,15-19
195,Other Distracted,15-19
196,Other Distracted,15-19
197,Other Distracted,15-19
198,Other Distracted,15-19
199,Other Distracted,15-19
200,Other Distracted,15-19
201,Other Distracted,15-19
202,Other Distracted,15-19
203,Other Distracted,15-19
204,Other Distracted,15-19
205,Other Distracted,15-19
206,Other Distracted,15-19
207,Other Distracted,15-19
208,Other Distracted,15-19
209,Other Distracted,15-19
210,Other Distracted,15-19
211,Other Distracted,15-19
