"speed","rr","lin","distance","timeper","cat","grpsize","calf","behav"
0.92,42.28,0.63,138.29,0.5,"Mid",3,0,"Forage"
1.17,61.79,0.67,182.17,0.5,"Mid",3,0,"Rest"
1.17,66.73,0.43,200.23,0.6,"Tour",2,0,"Rest"
0.67,18.15,0.63,268.99,0.2,"None",2,0,"Forage"
0.86,59.96,0.13,280.99,0.3,"Small",2,0,"Rest"
1.69,36.15,0.66,161.04,0.3,"Small",5,0,"Social"
2.68,28.38,0.94,142.76,0.3,"Small",6,0,"Social"
1.05,16.02,0.58,125.98,0.5,"Small",3,0,"Social"
1.37,15.37,0.95,187.81,0.4,"None",4,0,"Social"
2.34,15.28,0.8,277.15,0.5,"Small",3,0,"Social"
0.65,82.16,0.49,52.1,0.4,"Large",1,0,"Forage"
3.98,108.87,0.01,36.17,0.4,"Tour",1,0,"Forage"
0.38,68.96,0.28,80.85,0.5,"Tour",1,0,"Forage"
1.05,64.52,0.66,94.7,0.5,"Tour",2,0,"Rest"
1.66,68,0.65,115.34,0.5,"Mid",1,0,"Forage"
2.66,40.54,0.16,120.76,0.5,"Tour",1,0,"Forage"
2.8,106.12,0.42,140.32,0.5,"Trawler",1,0,"Forage"
9.68,86.25,0,110.28,0.5,"Tour",1,0,"Forage"
1.72,53.42,0.62,155.95,0.7,"Tour",1,0,"Rest"
2.01,64.47,0.5,128.68,0.7,"Mid",3,0,"Forage"
0.99,100.17,0.1,84.7,0.8,"Small",2,0,"Forage"
0.32,57.84,0.41,254.26,0.3,"None",2,0,"Forage"
1.03,49.22,0.54,261.05,0.3,"None",2,0,"Forage"
2.45,45.98,0.69,278.12,0.6,"None",5,0,"Social"
1.29,62.24,0.48,72.01,0.7,"None",5,0,"Social"
2.17,24.98,0.83,78.92,0.7,"None",5,0,"Social"
2.52,27.32,0.43,93.9,0.6,"None",5,0,"Social"
1.53,71.4,0.34,69.47,0.8,"None",2,0,"Forage"
0.9,37.41,0.3,108.25,0.2,"Mid",2,0,"Rest"
4,26,0.96,203.31,0.3,"Mid",5,0,"Social"
1.23,11.72,0.88,129.92,0.4,"Small",4,0,"Rest"
2.31,37.52,0.35,206.76,0.4,"Tour",2,0,"Rest"
1.94,30.37,0.79,162.82,0.5,"Large",4,0,"Social"
3.11,15.96,0.68,133.1,0.1,"None",4,0,"Rest"
4.17,14.66,0.82,126.06,0.2,"Trawler",5,0,"FSB"
3.28,5.08,0.99,277.38,0.2,"Trawler",5,0,"FSB"
3.45,27.39,0.91,204.39,0.2,"Trawler",4,0,"FSB"
3.75,3.69,1,268.14,0.2,"Trawler",5,0,"FSB"
2.37,36.59,0.85,90.75,0.3,"Trawler",4,0,"Forage"
0.58,33.08,0.39,86.62,0.4,"Tour",2,0,"Social"
2.27,54.46,0.12,81.57,0.4,"Mid",3,0,"Social"
0.55,105.62,0.34,305,0.7,"None",3,1,"Social"
0.77,85.09,0.15,293.86,0.7,"Small",6,1,"Social"
0.8,72.4,0.06,290.68,0.7,"Small",4,1,"Social"
1.48,82.84,0.18,292.15,0.7,"Small",6,1,"Social"
1.53,65.28,0.15,176.36,0.8,"Mid",3,0,"Rest"
1,35.47,0.39,273.69,0.9,"None",1,0,"Forage"
1.73,31.49,0.58,216.44,0.9,"None",1,0,"Forage"
0.58,62.98,0.13,132.26,0.5,"None",3,0,"Social"
0.81,109.02,0.11,127.64,0.5,"Small",6,1,"Social"
0.86,84.13,0.14,115.99,0.6,"Mid",6,1,"Social"
1.49,41.81,0.55,212.41,0.6,"Small",4,0,"Social"
1.74,69.16,0.77,163.26,0.6,"Small",9,0,"Social"
0.89,12.7,0.94,164.78,0.7,"None",2,0,"Forage"
1.6,18.01,0.77,182.97,0.7,"Large",2,0,"Forage"
2.77,17.87,0.29,149.31,0.2,"Trawler",3,0,"FSB"
3.49,9.24,0.98,164.47,0.3,"TT",8,0,"FSB"
3.79,8.5,0.99,208.62,0.3,"TT",4,0,"FSB"
3.89,7.46,0.98,98.47,0.2,"Trawler",3,0,"FSB"
3.57,2.6,0.99,136.55,0.3,"TT",3,1,"FSB"
2.03,20.97,0.19,168.85,0.4,"Trawler",3,0,"FSB"
2.14,18.99,0.9,155.62,0.4,"Trawler",6,0,"FSB"
3.84,7.42,0.94,189.74,0.5,"Trawler",5,1,"FSB"
2.29,30.97,0.87,248.46,0.4,"Small",3,0,"Rest"
