MaritalStatus,Education
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,MiddleSchool
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,HS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,BS
Never Married,MS
Never Married,MS
Never Married,MS
Never Married,MS
Never Married,MS
Never Married,MS
Never Married,MS
Never Married,MS
Never Married,MS
Never Married,PHD
Never Married,PHD
Never Married,PHD
Never Married,PHD
Never Married,PHD
Never Married,PHD
Married,MiddleSchool
Married,MiddleSchool
Married,MiddleSchool
Married,MiddleSchool
Married,MiddleSchool
Married,MiddleSchool
Married,MiddleSchool
Married,MiddleSchool
Married,MiddleSchool
Married,MiddleSchool
Married,MiddleSchool
Married,MiddleSchool
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,HS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,BS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,MS
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Married,PHD
Divorced,MiddleSchool
Divorced,MiddleSchool
Divorced,MiddleSchool
Divorced,MiddleSchool
Divorced,MiddleSchool
Divorced,MiddleSchool
Divorced,HS
Divorced,HS
Divorced,HS
Divorced,HS
Divorced,HS
Divorced,HS
Divorced,HS
Divorced,HS
Divorced,HS
Divorced,BS
Divorced,BS
Divorced,BS
Divorced,BS
Divorced,BS
Divorced,BS
Divorced,BS
Divorced,BS
Divorced,BS
Divorced,MS
Divorced,MS
Divorced,MS
Divorced,PHD
Divorced,PHD
Divorced,PHD
Widowed,MiddleSchool
Widowed,MiddleSchool
Widowed,MiddleSchool
Widowed,HS
Widowed,HS
Widowed,HS
Widowed,HS
Widowed,HS
Widowed,HS
Widowed,HS
Widowed,HS
Widowed,HS
Widowed,BS
Widowed,BS
Widowed,BS
Widowed,BS
Widowed,BS
Widowed,BS
Widowed,BS
Widowed,BS
Widowed,BS
Widowed,MS
Widowed,MS
Widowed,MS
Widowed,MS
Widowed,MS
Widowed,MS
Widowed,PHD
Widowed,PHD
Widowed,PHD
