"Genus","Time","Location","Zone","Current_Country","Habitat","Cranial_Capacity","Height","Incisor_Size","Jaw_Shape","Torus_Supraorbital","Prognathism","Foramen_Mágnum_Position","Canine.Size","Canines_Shape","Tooth_Enamel","Tecno","Tecno_type","biped","Arms","Foots","Diet","Sexual_Dimorphism","Hip","Vertical_Front","Anatomy","Migrated","Skeleton"
"hominino Orrorin tugenencin",6.04,"Africa","oriental","Kenya","forest",144.51,110.24,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"hominino Ardipithecus ramidus / kabadda",4.38,"Africa","oriental","Ethiopia","mixed",293.96,107.69,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Australopithecus Afarensis",3.75,"Africa","oriental","Kenya","mixed",264.8,123.77,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Australopithecus Anamensis",4.6,"Africa","oriental","Kenya","forest-gallery",403.28,111.41,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Australopithecus Africanus",3.61,"Africa","south","South Africa","forest-gallery",679.15,111.59,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Homo Rodhesiensis",0.68,"Africa","oriental","Ethiopia","savannah",1155.28,144.78,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Australopithecus Afarensis",3.79,"Africa","oriental","Kenya","mixed",305.31,138.48,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"hominino Sahelanthropus tchadensis",7.55,"Africa","central","Republic of Chad","mixed",258.05,91.23,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Neanderthalensis
",0.55,"Europa","central","Germany","cold forest",1156.08,158.1,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Anamensis",4.18,"Africa","oriental","Kenya","forest-gallery",460.06,117.36,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Australopithecus Anamensis",4.06,"Africa","oriental","Kenya","forest-gallery",361.85,127.56,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Paranthropus Aethiopicus",2.83,"Africa","oriental","Kenya","forest-savanna",486.44,112.4,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Erectus",1.9,"Asia ","west","Indonesia","savannah",1105.33,163.81,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Naledi",0.57,"Africa","south","South Africa","jungle",213.14,133.16,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Floresiensis",0.13,"Asia ","oriental","Indonesia","peninsular",254.05,103.04,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Anamensis",4.77,"Africa","oriental","Kenya","forest-gallery",200.42,122.9,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Paranthropus Boisei",2.17,"Africa","oriental","Ethiopia","forest",490.07,103.82,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"hominino Ardipithecus ramidus / kabadda",4.55,"Africa","oriental","Ethiopia","mixed",266.74,107.85,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Rudolfensis",2.45,"Africa","oriental","Kenya","savannah",753.94,127.3,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Floresiensis",0.35,"Asia ","oriental","Indonesia","peninsular",226.82,108.6,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Habilis",2.31,"Africa","oriental","Ethiopia","savannah",627.81,138.32,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Homo Erectus",1.25,"Asia ","west","Indonesia","savannah",1052.24,151.55,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Naledi",0.79,"Africa","south","South Africa","jungle",202.56,137.8,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Paranthropus Boisei",2.53,"Africa","oriental","Ethiopia","forest",485.64,100.17,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Sapiens",0.54,"Africa","oriental","Kenya","savannah",1277.22,171.61,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Antecesor",0.73,"Europa","west","Spain","savannah",1151.66,178.61,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Australopithecus Anamensis",4.13,"Africa","oriental","Kenya","forest-gallery",327.49,122.53,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"hominino Ardipithecus ramidus / kabadda",4.01,"Africa","oriental","Ethiopia","mixed",402.26,116.18,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Naledi",0.72,"Africa","south","South Africa","jungle",398.06,125.62,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Rudolfensis",3.03,"Africa","oriental","Kenya","savannah",727.41,120.76,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Australopithecus Africanus",4.16,"Africa","south","South Africa","forest-gallery",667.45,103.4,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"hominino Orrorin tugenencin",6.22,"Africa","oriental","Kenya","forest",225.24,110.92,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Floresiensis",0.36,"Asia ","oriental","Indonesia","peninsular",339.28,109.97,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Habilis",2.5,"Africa","oriental","Ethiopia","savannah",715.11,133.56,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Homo Rudolfensis",2.89,"Africa","oriental","Kenya","savannah",636.97,123.8,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Ergaster",1.88,"Africa","oriental","Kenya","savannah",969.53,158.82,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
