"type_school","school_accreditation","gender","interest","residence","parent_age","parent_salary","house_area","average_grades","parent_was_in_college","in_college"
"Academic","A","Male","Less Interested","Urban",56,6950000,83,84.09,"False","True"
"Academic","A","Male","Less Interested","Urban",57,4410000,76.8,86.91,"False","True"
"Academic","B","Female","Very Interested","Urban",50,6500000,80.6,87.43,"False","True"
"Academic","A","Female","Very Interested","Urban",57,5250000,75.1,86.79,"False","False"
"Academic","A","Male","Very Interested","Rural",52,6680000,85.5,90.39,"True","True"
"Academic","B","Male","Very Interested","Rural",53,5890000,83.3,84.65,"True","False"
"Academic","B","Female","Uncertain","Rural",52,6730000,80.3,88.5,"True","True"
"Academic","B","Female","Very Interested","Rural",47,3880000,68,85.43,"True","False"
"Academic","B","Male","Very Interested","Rural",53,7130000,88.5,91.92,"True","True"
"Academic","A","Male","Very Interested","Urban",51,3370000,67.1,84.09,"False","False"
"Academic","B","Male","Very Interested","Rural",48,3970000,63.5,86.38,"True","False"
"Academic","B","Female","Quite Interested","Urban",56,2600000,77.5,86.5,"True","False"
"Academic","A","Female","Very Interested","Urban",51,3900000,57.9,83.18,"False","False"
"Academic","B","Female","Quite Interested","Urban",60,4250000,58.1,83.99,"False","False"
"Academic","B","Male","Very Interested","Urban",54,6400000,83.8,88.3,"False","True"
"Academic","A","Male","Very Interested","Urban",60,3230000,79.6,85.96,"False","False"
"Academic","B","Male","Less Interested","Rural",52,6130000,76.1,82.7,"True","False"
"Academic","A","Female","Very Interested","Urban",53,5900000,79.7,88.96,"False","True"
"Academic","A","Male","Uncertain","Urban",55,6610000,76.1,89.83,"False","True"
"Academic","A","Male","Less Interested","Urban",54,7310000,54.6,83.57,"False","False"
"Academic","A","Female","Not Interested","Urban",50,5630000,69.9,80.5,"False","True"
"Academic","B","Female","Less Interested","Urban",53,3970000,65.6,88.49,"True","False"
"Academic","A","Male","Uncertain","Urban",50,2660000,64.6,79.92,"True","False"
"Academic","A","Female","Uncertain","Rural",51,4720000,57.2,84.81,"True","False"
"Academic","A","Female","Uncertain","Rural",54,7260000,77.1,89.02,"True","True"
"Academic","B","Female","Less Interested","Urban",51,3850000,57.2,84.37,"False","False"
"Academic","A","Female","Quite Interested","Urban",46,7610000,59.8,83.17,"False","False"
"Academic","A","Male","Very Interested","Urban",55,3760000,87.1,91.15,"True","True"
"Academic","A","Female","Not Interested","Rural",49,6220000,84,82.48,"True","True"
"Academic","B","Male","Less Interested","Rural",49,6210000,82.3,83.72,"False","False"
"Academic","A","Male","Quite Interested","Urban",55,5610000,82.4,82.49,"False","False"
"Academic","A","Male","Very Interested","Urban",52,4740000,50.9,84.78,"False","False"
"Academic","A","Female","Very Interested","Urban",53,5570000,93.5,88.92,"False","True"
"Academic","B","Female","Very Interested","Rural",47,4100000,60.6,83.24,"True","False"
"Academic","A","Female","Less Interested","Urban",57,3200000,74.8,84.93,"False","False"
"Academic","B","Male","Uncertain","Urban",57,4500000,50.7,80.55,"False","True"
"Academic","B","Male","Uncertain","Rural",50,8390000,81.4,89.21,"True","True"
"Academic","A","Male","Very Interested","Urban",52,6550000,79.4,91.17,"False","True"
"Academic","B","Female","Very Interested","Urban",54,4730000,88.4,82.52,"False","False"
"Academic","B","Male","Less Interested","Urban",58,5030000,69.9,82.39,"False","True"
"Academic","A","Female","Quite Interested","Urban",56,3990000,61,84.48,"False","False"
"Academic","A","Female","Less Interested","Urban",55,4740000,65,87.56,"False","False"
"Academic","B","Male","Less Interested","Urban",52,4070000,58,85.08,"True","False"
"Academic","B","Female","Very Interested","Rural",49,7480000,84.1,87.4,"True","True"
"Academic","B","Female","Very Interested","Rural",51,6460000,87.2,84.75,"True","True"
"Academic","A","Female","Uncertain","Urban",52,3520000,69.2,82.44,"False","False"
"Academic","A","Male","Very Interested","Urban",55,3100000,82.5,84.05,"False","False"
"Academic","A","Female","Less Interested","Rural",51,5050000,74.7,84.28,"False","False"
"Academic","A","Female","Very Interested","Urban",52,5430000,81.5,90.54,"False","True"
"Academic","B","Male","Very Interested","Rural",54,5840000,86.7,88.18,"True","True"
"Academic","A","Male","Less Interested","Urban",59,4370000,73.4,84.01,"False","False"
"Academic","A","Male","Quite Interested","Urban",57,6090000,34,83.5,"False","False"
"Academic","B","Female","Less Interested","Urban",52,2960000,79.4,86.99,"True","False"
"Academic","B","Male","Less Interested","Rural",52,8160000,75.9,93.55,"True","True"
"Academic","B","Female","Very Interested","Rural",49,7790000,80.2,87.53,"True","True"
"Academic","A","Male","Very Interested","Rural",53,4260000,76.2,89.55,"False","False"
"Academic","B","Male","Uncertain","Rural",48,7700000,67,88.34,"True","True"
"Academic","B","Female","Very Interested","Rural",52,6710000,77.8,88.17,"True","True"
"Academic","B","Female","Less Interested","Urban",56,6990000,67.5,89.74,"True","True"
"Academic","A","Female","Less Interested","Urban",54,5230000,49.8,82.32,"False","False"
"Academic","B","Male","Not Interested","Rural",46,7200000,76,92.99,"True","True"
"Academic","B","Male","Less Interested","Urban",50,3430000,59.1,84.1,"False","False"
"Academic","B","Male","Less Interested","Urban",53,3510000,70.5,85.29,"True","False"
"Academic","A","Female","Uncertain","Rural",46,2780000,62,79.02,"True","False"
"Academic","B","Female","Uncertain","Rural",50,4410000,90.6,96.56,"True","True"
"Academic","B","Female","Very Interested","Urban",53,4930000,89.1,92.08,"True","True"
"Academic","A","Female","Very Interested","Urban",49,4100000,58.4,83.16,"False","False"
"Academic","A","Female","Less Interested","Urban",53,4510000,52.6,81.87,"False","False"
"Academic","A","Male","Quite Interested","Urban",53,3320000,63.4,83.62,"False","False"
"Academic","A","Female","Quite Interested","Urban",58,4950000,50.4,83.52,"False","False"
"Academic","A","Female","Uncertain","Rural",47,6360000,84.5,82.23,"True","True"
"Academic","B","Male","Very Interested","Rural",50,6460000,79.3,86.48,"True","True"
"Academic","B","Female","Less Interested","Urban",56,5670000,75.3,83.71,"False","False"
