Industry,LawyersPerBillion
ConsumerProducts,5.61
ConsumerProducts,3.98
ConsumerProducts,5.41
ConsumerProducts,2.12
ConsumerProducts,4.56
ConsumerProducts,6.27
ConsumerProducts,7.94
ConsumerProducts,1.51
ConsumerProducts,2.48
ConsumerProducts,4.98
ConsumerProducts,7.64
ConsumerProducts,5.21
ConsumerProducts,4.32
ConsumerProducts,4.58
Energy,8.53
Energy,3.76
Energy,1.93
Energy,9.92
Energy,6.53
Energy,6.43
Energy,8.06
Energy,6.09
Energy,9.13
Energy,7.19
Energy,4.68
Energy,10.03
Energy,4.71
Energy,6.93
Energy,3.9
Food,9.54
Food,1.9
Food,7.02
Food,5.57
Food,8.76
Food,8.07
Food,2.53
Food,2.82
Food,5.07
Food,3.25
Food,2.66
Food,7.61
Food,6.1
Food,3.14
Food,7.23
Food,3.39
Food,4.25
Food,6.18
Food,9.24
Food,3.6
Food,5.53
Food,4.19
Food,6.38
Health,6.09
Health,3.47
Health,5.1
Health,8.26
Health,1.44
Health,3.64
Health,5.97
Health,7.73
Health,4.04
Health,8.08
Health,4.12
Health,4.97
Health,7.41
Health,6.42
Health,10.84
Health,4.96
Health,7.26
Health,4.73
Health,5.36
Health,5.98
Health,1.6
Health,7.6
Health,4.68
Health,5.48
Health,3.71
Health,5.95
Health,6.36
Health,7.28
Health,4.2
Health,2.29
Health,3.2
Health,3.37
Health,7.24
Health,2.29
Health,3.46
Health,4.01
Health,3.18
Health,6.6
Health,2.64
Health,5.29
Health,2.79
Health,5.23
Health,2.09
Health,5.28
Health,6.85
Health,8.17
Health,6.87
Health,6.17
Health,3.93
Health,4.69
Health,5.89
Health,5.72
Health,6.84
Health,4.96
Health,8.25
Health,9.14
Health,5.12
Health,3.36
Health,7.24
Health,4.25
Health,4.7
Health,2.84
Health,4.49
Health,11.04
Health,3.97
Health,7.6
Health,5.23
Health,7.42
Health,6.5
Health,4.28
Health,6.53
Health,5.8
Health,8.73
Health,5.08
Health,4.85
Health,5.52
Health,2.98
Health,4.38
Health,6.04
Health,6.14
Health,5.99
Health,7.56
Health,7.05
Health,6.96
Health,5.08
Health,6.39
Health,4.08
Health,6.72
Health,5.14
Health,9.57
Health,7.35
Health,7.83
Health,2.27
Health,6.07
Health,4.72
Health,6.23
Health,7.27
Health,5.27
Health,4.49
Health,6.16
Health,6.9
Health,8.85
Health,7.65
Health,5.71
Health,5.06
Health,7.32
Health,6.89
Health,5.25
Health,8.48
Health,3.88
Health,4.2
Health,6.68
Health,6.53
Health,6.49
Health,4.7
Health,5.35
Health,4.25
Health,3.05
Health,3.08
Health,4.77
Health,7.13
Health,6.24
Health,2.05
Health,6.75
Health,4.13
Health,6.74
Health,4.9
Health,3.95
Manufacturing,6.52
Manufacturing,5.62
Manufacturing,4.81
Manufacturing,4.56
Manufacturing,5.79
Manufacturing,8.41
Manufacturing,7.75
Manufacturing,3.94
Manufacturing,6.64
Manufacturing,5.96
Manufacturing,6.69
Manufacturing,4.59
Manufacturing,7.98
Manufacturing,4.66
Manufacturing,4.73
Manufacturing,4.6
Manufacturing,4.61
Manufacturing,3.47
Manufacturing,7.27
Manufacturing,4.28
Manufacturing,5.55
Manufacturing,3.11
Manufacturing,6.2
Manufacturing,6.99
Manufacturing,3.12
Manufacturing,9.37
Manufacturing,8.02
Manufacturing,7.98
Manufacturing,4.52
Manufacturing,6.86
Manufacturing,2.87
Manufacturing,9.8
Manufacturing,8.45
Manufacturing,5.87
Manufacturing,4.47
Manufacturing,8.5
Manufacturing,5.51
Manufacturing,5.12
Manufacturing,6.74
