"name","region","cuisine","price","stars"
"Kilian Stuba","Austria","Creative","$$$$$","1Star"
"Pfefferschiff","Austria","Classic cuisine","$$$$$","1Star"
"Esszimmer","Austria","Creative","$$$$$","1Star"
"Carpe Diem","Austria","Market cuisine","$$$$$","1Star"
"Edvard","Austria","Modern cuisine","$$$$","1Star"
"Das Loft","Austria","Modern cuisine","$$$$$","1Star"
"Pramerl & the Wolf","Austria","Creative","$$$$$","1Star"
"Walter Bauer","Austria","Classic cuisine","$$$$$","1Star"
"SHIKI","Austria","Japanese","$$$$$","1Star"
"Tian","Austria","Vegetarian","$$$$$","1Star"
"aend","Austria","Modern cuisine","$$$$$","1Star"
"Le Ciel by Toni Mörwald","Austria","Classic cuisine","$$$$$","1Star"
"Chez TJ","California","Contemporary","$$$$","1Star"
"Protégé","California","Contemporary","$$$","1Star"
"Madera","California","Contemporary","$$$","1Star"
"The Village Pub","California","Contemporary","$$$","1Star"
"Plumed Horse","California","Contemporary","$$$$","1Star"
"Wakuriya","California","Japanese","$$$$","1Star"
"Sushi Yoshizumi","California","Japanese","$$$$","1Star"
"Rasa","California","Indian","$$","1Star"
"Maum","California","Korean","$$$$","1Star"
"Al's Place","California","Californian","$$","1Star"
"Aster","California","Californian","$$$","1Star"
"Omakase","California","Japanese","$$$$","1Star"
"Commonwealth","California","Contemporary","$$","1Star"
"Luce","California","Contemporary","$$$","1Star"
"Birdsong","California","American","$$$$","1Star"
"In Situ","California","International","$$$$","1Star"
"Mourad","California","Moroccan","$$$","1Star"
"Hashiri","California","Japanese","$$$$","1Star"
"Angler","California","Contemporary","$$$$","1Star"
"Rich Table","California","Contemporary","$$$","1Star"
"Kin Khao","California","Thai","$$","1Star"
"Michael Mina","California","Contemporary","$$$$","1Star"
"Sons & Daughters","California","Contemporary","$$$$","1Star"
"Mister Jiu's","California","Chinese","$$$","1Star"
"Nico","California","Contemporary","$$$","1Star"
"jū-ni","California","Japanese","$$$$","1Star"
"Keiko à Nob Hill","California","Fusion","$$$$","1Star"
"The Progress","California","Californian","$$$","1Star"
"State Bird Provisions","California","American","$$","1Star"
"Octavia","California","Californian","$$$","1Star"
"SPQR","California","Italian","$$$","1Star"
"Lord Stanley","California","Californian","$$$","1Star"
"Kinjo","California","Japanese","$$$$","1Star"
"Sorrel","California","Californian","$$$","1Star"
"Gary Danko","California","Contemporary","$$$$","1Star"
"Bar Crenn","California","French","$$$","1Star"
"Spruce","California","Californian","$$$","1Star"
"Wako","California","Japanese","$$$$","1Star"
"Madcap","California","Contemporary","$$$$","1Star"
"Aubergine","California","Contemporary","$$$$","1Star"
"Kenzo","California","Japanese","$$$$","1Star"
"La Toque","California","Contemporary","$$$$","1Star"
"Bouchon","California","French","$$$","1Star"
"Auberge du Soleil","California","Californian","$$$$","1Star"
"Farmhouse Inn & Restaurant","California","Californian","$$$$","1Star"
"The Kitchen","California","Contemporary","$$$$","1Star"
"Madrona Manor","California","Contemporary","$$$$","1Star"
"Harbor House","California","Californian","$$$$","1Star"
"Shin Sushi","California","Japanese","$$$","1Star"
"Rustic Canyon","California","Californian","$$$","1Star"
"Dialogue","California","Contemporary","$$$$","1Star"
"Kato","California","Asian","$$$","1Star"
"CUT","California","Steakhouse","$$$$","1Star"
"Nozawa Bar","California","Japanese","$$$$","1Star"
"Shunji","California","Japanese","$$$$","1Star"
"Maude","California","Contemporary","$$$$","1Star"
"Mori Sushi","California","Japanese","$$$$","1Star"
"Trois Mec","California","Contemporary","$$$$","1Star"
"Osteria Mozza","California","Italian","$$$","1Star"
"Kali","California","Californian","$$$","1Star"
"Le Comptoir","California","Californian","$$$$","1Star"
"Q Sushi","California","Japanese","$$$$","1Star"
"Shibumi","California","Japanese","$$$$","1Star"
"Hayato","California","Japanese","$$$$","1Star"
"Bistro Na's","California","Chinese","$$","1Star"
"Orsa & Winston","California","Fusion","$$$$","1Star"
