"","Birthday","Home.City","Nationality","Height..in.","Weight..lbs.","Dominant.Hand","Age","Seasons.Played","Team","Games.Played","Number.of.Penalties","Goals.Scored","Average.Shot.Distance"
"1","11/21/89","Dorchester","USA",74.3242723040666,215,"R",28,7,"NJD",33,2,3,19.2432
"2","12/23/87","Helsinki","FIN",75.7905487318997,212,"L",30,4,"PHI",62,9,3,26.1111
"3","6/7/90","Winnipeg","CAN",73.7416303257114,210,"R",27,7,"CGY",82,9,3,55.4286
"4","4/18/82","Regina","CAN",73.0813932606882,215,"L",35,17,"NSH",62,11,13,32.5732
"5","3/24/81","Bolton","USA",73.8317295742685,205,"L",36,15,"TOR",80,2,4,65.3288
"6","9/26/79","Regina","CAN",71.7889846231328,195,"L",38,14,"TBL",82,5,13,28.5309
"7","2/6/90","Brantford","CAN",71.2120220630131,195,"L",27,8,"NJD, ANA",81,10,24,25.2252
"8","9/26/80","San Francisco","USA",70.8878820675575,217,"L",37,15,"WSH",81,14,0,59.5556
"9","3/30/95","SANDY","USA",71.7229609602872,203,"L",22,1,"LAK",1,0,0,0
"10","2/22/91","Golden","CAN",72.7040977583218,205,"L",26,4,"DAL",7,2,0,24.0909
"11","6/8/93","Dubuque","USA",73.7164200229356,199,"R",24,1,"WPG",24,1,1,56.1852
"12","10/4/81","Cobourg","CAN",70.7043990752768,188,"R",36,17,"CAR",82,12,16,34.803
"13","1/12/81","Stockholm","SWE",73.7009835320925,194,"L",37,14,"DET",79,5,4,57.6184
"14","5/30/90","Marshfield","USA",73.4510867296308,170,"L",27,5,"COL",16,1,0,51.7778
"15","8/5/88","Winnipeg","CAN",75.0060869917055,206,"R",29,8,"PHI",46,10,4,32.6818
"16","7/3/90","Edina","USA",71.8532147475953,231,"L",27,6,"NYI",82,14,40,21.7308
"17","6/7/90","Chatham","CAN",76.2609541475786,182,"L",27,8,"CGY",73,8,4,53.2203
"18","9/1/89","Halmstad","SWE",72.5722190924684,184,"L",28,7,"DET",82,14,21,31.1315
"19","4/20/90","Abbotsford","CAN",70.5809892722367,215,"L",27,5,"ANA",66,5,12,23.1231
