"declaration_title","state","designated_area","year_declared"
"Hurricane","NC","Washington (County)",2020
"Hurricane","NC","Camden (County)",2020
"Hurricane","NC","Perquimans (County)",2020
"Hurricane","NC","Carteret (County)",2020
"Hurricane","NC","Hyde (County)",2020
"Hurricane","NC","Columbus (County)",2020
"Hurricane","NC","Dare (County)",2020
"Hurricane","NC","Pender (County)",2020
"Hurricane","NC","Wayne (County)",2020
"Hurricane","NC","Hoke (County)",2020
"Hurricane","NC","Robeson (County)",2020
"Hurricane","NC","Chowan (County)",2020
"Hurricane","NC","New Hanover (County)",2020
"Hurricane","NC","Pasquotank (County)",2020
"Hurricane","NC","Brunswick (County)",2020
"Hurricane","NC","Pitt (County)",2020
"Hurricane","NC","Tyrrell (County)",2020
"Hurricane","NC","Sampson (County)",2020
"Hurricane","NC","Jones (County)",2020
"Hurricane","NC","Beaufort (County)",2020
"Hurricane","NC","Bladen (County)",2020
"Hurricane","NC","Greene (County)",2020
"Hurricane","NC","Craven (County)",2020
"Hurricane","NC","Currituck (County)",2020
"Hurricane","NC","Lenoir (County)",2020
"Hurricane","NC","Duplin (County)",2020
"Hurricane","NC","Onslow (County)",2020
"Hurricane","NC","Pamlico (County)",2020
"Hurricane","TX","Jefferson (County)",2020
"Hurricane","TX","Chambers (County)",2020
"Hurricane","TX","Montgomery (County)",2020
"Hurricane","TX","Orange (County)",2020
"Hurricane","TX","San Jacinto (County)",2020
"Hurricane","TX","Harris (County)",2020
"Hurricane","TX","Liberty (County)",2020
"Hurricane","MP","Northern Islands (Municipality)",2020
"Hurricane","MP","Saipan (Municipality)",2020
"Hurricane","MP","Rota (Municipality)",2020
"Hurricane","MP","Tinian (Municipality)",2020
"Severe Storm","SD","Kingsbury (County)",2020
"Severe Storm","SD","Tripp (County)",2020
"Severe Storm","SD","Meade (County)",2020
"Severe Storm","SD","Cheyenne River Indian Reservation",2020
"Severe Storm","SD","Butte (County)",2020
"Severe Storm","SD","Lawrence (County)",2020
"Severe Storm","SD","Gregory (County)",2020
"Severe Storm","SD","Lower Brule Indian Reservation",2020
"Fire","CA","Ventura (County)",2020
"Fire","CA","Los Angeles (County)",2020
"Hurricane","MP","Rota (Municipality)",2020
"Hurricane","MP","Northern Islands (Municipality)",2020
"Hurricane","MP","Saipan (Municipality)",2020
"Hurricane","MP","Tinian (Municipality)",2020
"Hurricane","FL","Indian River (County)",2020
"Hurricane","FL","St. Johns (County)",2020
"Hurricane","FL","Palm Beach (County)",2020
"Hurricane","FL","St. Lucie (County)",2020
"Hurricane","FL","Osceola (County)",2020
"Hurricane","FL","Putnam (County)",2020
"Hurricane","FL","Nassau (County)",2020
"Hurricane","FL","Broward (County)",2020
"Hurricane","FL","Brevard (County)",2020
"Hurricane","FL","Flagler (County)",2020
"Hurricane","FL","Seminole (County)",2020
"Hurricane","FL","Volusia (County)",2020
"Hurricane","FL","Martin (County)",2020
"Hurricane","FL","Duval (County)",2020
"Fire","HI","Maui (County)",2020
"Fire","CA","Sonoma (County)",2020
"Fire","CA","Los Angeles (County)",2020
"Fire","CA","Los Angeles (County)",2020
"Fire","CA","Ventura (County)",2020
"Fire","CA","Riverside (County)",2020
"Fire","CA","Riverside (County)",2020
"Fire","CA","San Bernardino (County)",2020
"Fire","CA","Ventura (County)",2020
"Severe Storm","SD","Day (County)",2020
"Severe Storm","SD","Douglas (County)",2020
"Severe Storm","SD","Turner (County)",2020
"Severe Storm","SD","Charles Mix (County)",2020
"Severe Storm","SD","Brookings (County)",2020
"Severe Storm","SD","Brule (County)",2020
"Severe Storm","SD","Kingsbury (County)",2020
"Severe Storm","SD","Flandreau Indian Reservation",2020
"Severe Storm","SD","Yankton Indian Reservation",2020
"Severe Storm","SD","Miner (County)",2020
"Severe Storm","SD","Codington (County)",2020
"Severe Storm","SD","Lincoln (County)",2020
"Severe Storm","SD","Sanborn (County)",2020
"Severe Storm","SD","Union (County)",2020
"Severe Storm","SD","Davison (County)",2020
"Severe Storm","SD","Hanson (County)",2020
"Severe Storm","SD","Clark (County)",2020
"Severe Storm","SD","Gregory (County)",2020
"Severe Storm","SD","Lake (County)",2020
"Severe Storm","SD","McCook (County)",2020
"Severe Storm","SD","Moody (County)",2020
"Severe Storm","SD","Aurora (County)",2020
"Severe Storm","SD","Yankton (County)",2020
"Severe Storm","SD","Hutchinson (County)",2020
"Severe Storm","SD","Minnehaha (County)",2020
"Fire","CA","Santa Barbara (County)",2020
"Fire","OK","Woodward (County)",2020
"Fire","OK","Ellis (County)",2020
"Flood","MS","Alcorn (County)",2020
"Flood","MS","Chickasaw (County)",2020
"Flood","MS","Neshoba (County)",2020
"Flood","MS","Tippah (County)",2020
"Flood","MS","Pontotoc (County)",2020
"Flood","MS","Marion (County)",2020
"Flood","MS","Jasper (County)",2020
"Flood","MS","Covington (County)",2020
"Flood","MS","Oktibbeha (County)",2020
"Flood","MS","Itawamba (County)",2020
"Flood","MS","Leake (County)",2020
"Flood","MS","Prentiss (County)",2020
"Flood","MS","Scott (County)",2020
"Flood","MS","Newton (County)",2020
"Flood","MS","Smith (County)",2020
"Flood","MS","Lee (County)",2020
"Flood","MS","Jefferson Davis (County)",2020
"Flood","MS","Simpson (County)",2020
"Flood","MS","Choctaw (County)",2020
"Severe Storm","TN","Perry (County)",2020
"Severe Storm","TN","Houston (County)",2020
"Severe Storm","TN","Wayne (County)",2020
"Severe Storm","TN","Benton (County)",2020
"Severe Storm","TN","Humphreys (County)",2020
"Severe Storm","TN","Hardin (County)",2020
"Severe Storm","TN","Henderson (County)",2020
"Severe Storm","TN","McNairy (County)",2020
"Severe Storm","TN","Montgomery (County)",2020
"Severe Storm","TN","Decatur (County)",2020
"Severe Storm","NY","Chautauqua (County)",2020
"Severe Storm","NY","Fulton (County)",2020
"Severe Storm","NY","Tioga (County)",2020
"Severe Storm","NY","Oneida (County)",2020
"Severe Storm","NY","Essex (County)",2020
