numYears,numRaters,numCourses,pepper,easiness,raterInterest,quality,deptBiology,deptBusiness,deptChemistry,deptCommunication,deptCS,deptEducation,deptEnglish,deptGeology,deptHistory,deptLanguages,deptMath,deptMusic,deptPhilosophy,deptPhysics,deptPolySci,deptPsychology,deptReligion,deptSocialScience,deptSociology
7,11,5,No,4.82,3.55,4.5,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
6,11,5,No,4.36,4,3.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
10,43,2,No,4.6,3.43,4.8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,24,5,No,2.79,3.18,3.8,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,19,7,No,4.47,4.21,4.6,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
10,15,9,No,4.53,3.92,3.7,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
7,17,3,No,4.12,3.81,4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,16,3,No,1.44,2.94,0.2,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,12,4,No,1.75,3.75,0.2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
7,18,4,No,3.67,4.18,3.4,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,11,4,No,4,2.9,4.7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
6,33,4,Yes,4.24,3.33,2.7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
4,23,5,No,2.22,3.22,1,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
10,34,2,Yes,4.68,4.72,4.8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
11,23,8,Yes,2.83,3.95,4.4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
3,27,5,Yes,3.7,3.59,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
1,14,2,Yes,3.21,2.36,4.2,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,19,7,No,3.63,3.53,3.6,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
6,11,5,No,2.27,4,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,14,5,No,3.29,3.23,2.3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,59,9,No,2.36,3.54,2.1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
10,28,5,No,3.64,3.25,2.6,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
1,13,3,No,4.62,2.92,2.4,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
10,15,5,No,2.27,3.4,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
7,16,2,No,2.56,3.8,2.3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
