sex,age,juv_fel_count,race,juv_misd_count,juv_other_count,PriorCount,is_recid,is_violent_recid,ChargeDegree,DaysInJail,RecidScore
Male,69,0,Other,0,0,0,0,0,F,1417.63333333333,-3.37
Male,34,0,African-American,0,0,0,1,1,F,14511.4333333333,-1.05
Male,44,0,Other,0,0,0,0,0,M,1898.63333333333,-1.22
Male,43,0,Other,0,0,3,0,0,F,1426.83333333333,-1.01
Female,39,0,Caucasian,0,0,0,0,0,M,4253.2,0.09
Male,21,0,Caucasian,0,0,1,1,1,F,1423.16666666667,-0.76
Male,27,0,Caucasian,0,0,0,0,0,F,1555.85,-3.97
Female,37,0,Caucasian,0,0,0,0,0,M,1304.26666666667,-2.49
Male,41,0,African-American,0,0,0,0,0,F,863.7,-2.87
Male,37,0,Hispanic,0,0,0,0,0,M,348.216666666667,-7.5
Male,25,0,African-American,0,0,3,0,0,F,1649.26666666667,0.01
Male,31,0,Caucasian,0,0,6,1,1,F,1516.7,2.58
Female,21,0,Caucasian,0,0,0,0,0,F,1661.2,2.32
Male,43,0,Caucasian,0,0,1,0,0,M,1768.8,-5.27
Male,32,0,Other,0,0,0,0,0,M,2575.33333333333,-4.53
Male,27,0,African-American,0,0,8,1,1,F,24481.2,0.24
Female,36,0,Caucasian,0,0,3,0,0,F,1186.83333333333,-2.22
Male,33,0,African-American,0,0,0,1,1,F,54419.05,-2.74
Male,55,0,Caucasian,0,0,0,0,0,F,3112.36666666667,-6.22
Male,26,0,Caucasian,0,2,6,0,0,M,17456.35,1.47
Male,29,0,Caucasian,0,0,0,0,0,M,-354.466666666667,0.2
Female,21,0,African-American,0,0,2,0,0,F,114833.866666667,3
Male,51,0,African-American,0,0,2,0,0,M,1637.35,-2.29
Female,51,0,African-American,0,0,7,0,0,F,2405.68333333333,1.29
Male,25,0,Caucasian,0,0,9,1,1,M,10029.7833333333,4.48
Male,35,1,African-American,0,4,13,1,1,F,1302.46666666667,1.73
Male,49,0,Caucasian,0,0,0,0,0,M,228.516666666667,-6.58
Male,29,0,African-American,0,0,0,0,0,F,231.8,-1.33
Female,28,0,Other,0,0,0,0,0,F,1340.3,-0.62
Female,63,0,Hispanic,0,0,1,0,0,F,11787.0333333333,-3.84
Male,31,0,African-American,0,1,15,1,0,F,195800.883333333,7.33
Male,30,0,Hispanic,0,0,0,0,0,M,33505.3666666667,1.19
Male,49,0,African-American,0,0,4,0,0,M,1300.66666666667,-0.21
Male,53,0,Caucasian,0,0,8,0,0,F,18810.4166666667,-4.56
Male,35,0,African-American,0,0,5,0,0,F,1400.03333333333,0.48
Male,62,0,Hispanic,0,0,0,0,0,M,-171.683333333333,-1.28
Male,33,0,Other,0,0,0,0,0,M,1967.7,-1.6
Female,56,0,African-American,0,0,0,0,0,M,4607.56666666667,0.14
Male,45,0,Hispanic,0,0,6,1,1,F,348428.933333333,-2.65
Male,22,0,Hispanic,0,0,1,0,0,F,1522,-1.06
Male,39,0,African-American,0,0,1,0,0,M,7057.06666666667,-3.01
Male,40,0,African-American,0,0,2,0,0,F,4591.15,-6.32
Male,22,0,Caucasian,0,0,0,0,0,F,83408.0333333333,-3.84
Female,26,0,African-American,0,0,1,1,1,F,2886.08333333333,-0.65
Male,27,0,Caucasian,0,0,1,1,1,F,27875.2333333333,2.69
Male,32,0,African-American,0,0,0,0,0,F,1655.18333333333,-0.22
Male,41,0,African-American,0,0,1,0,0,M,2410.15,-4.34
Male,30,0,African-American,0,0,8,1,1,M,1772.48333333333,-0.19
Male,25,1,African-American,6,1,14,1,1,F,10285.2333333333,2.65
Male,20,0,Other,0,0,0,1,1,F,1585.03333333333,-0.74
Female,35,0,African-American,0,0,1,0,0,M,1216.96666666667,1.21
Male,25,0,Caucasian,0,0,9,1,1,F,1436.15,1.32
Female,20,0,Caucasian,0,0,0,0,0,F,855.116666666667,-2.46
Male,66,0,Caucasian,0,0,3,0,0,F,43650.8,-0.12
Female,54,0,Caucasian,0,0,0,0,0,M,409,-2.05
Female,44,0,Hispanic,0,0,0,0,0,M,1623.91666666667,-3.14
Male,19,0,African-American,0,0,1,1,1,M,13103.2166666667,0.99
Male,24,0,African-American,0,0,1,0,0,F,197708.95,2.56
Male,30,0,African-American,0,0,1,0,0,F,1343.85,-0.1
Female,39,0,Caucasian,0,0,0,1,1,F,2430.38333333333,-3.24
Male,30,0,Caucasian,0,0,0,0,0,F,8598.35,-5.43
Male,31,0,Caucasian,0,0,0,0,0,M,56117.9333333333,-1.81
Female,39,0,Caucasian,0,0,1,0,0,F,153888.283333333,-1.42
Male,59,0,African-American,0,0,14,1,1,F,158022.633333333,1.28
Male,43,0,Caucasian,0,0,1,0,0,F,1493.38333333333,-1.79
Male,34,0,Caucasian,0,0,0,0,0,F,21490.4166666667,-5.85
Male,37,0,African-American,0,0,3,0,0,F,1832.2,0.84
Male,31,0,African-American,0,0,1,0,0,M,1710.46666666667,0.06
Female,30,0,Other,0,0,1,0,0,F,1602.1,-2.8
Male,31,0,Caucasian,0,0,13,1,1,F,678613.6,5.15
Male,56,0,African-American,0,0,8,0,0,F,115143.283333333,0.4
Male,52,0,Caucasian,0,0,3,0,0,M,911.15,-3.74
Female,64,0,Caucasian,0,0,2,0,0,M,-153.45,-10.27
Male,42,0,Caucasian,0,0,6,0,0,F,-180.066666666667,0.06
Female,25,0,Caucasian,0,0,2,0,0,F,4376.55,-1.5
Male,30,0,Caucasian,0,0,1,0,0,M,5491.76666666667,-3.91
Female,37,0,Other,0,0,2,0,0,M,2487.25,-1.88
Female,24,0,African-American,0,0,0,0,0,M,3515.18333333333,0.67
Female,30,0,Hispanic,0,0,4,1,1,F,464.883333333333,-0.07
Male,31,0,African-American,0,0,1,1,0,M,1537.65,2.35
Female,20,1,African-American,0,0,1,0,0,F,3989.45,-2.12
Female,43,0,Caucasian,0,0,0,0,0,M,1390.23333333333,-6.29
Male,32,0,African-American,0,0,11,1,1,F,1838.01666666667,0.95
Male,33,0,African-American,0,0,8,1,1,M,1073.1,-2.97
Female,20,0,African-American,0,0,0,0,0,F,229.3,-2.29
Female,26,0,Caucasian,0,0,0,0,0,M,1288.43333333333,-4.72
Male,63,0,Hispanic,0,0,1,0,0,F,21322.7166666667,-4.43
