"Temperature","Fuel_Price","CPI","Unemployment","Weekly_Sales"
42.31,2.57,211.1,8.11,798258
38.51,2.55,211.24,8.11,212944
39.93,2.51,211.29,8.11,1565974
46.63,2.56,211.32,8.11,755766
46.5,2.62,211.35,8.11,1005914
57.79,2.67,211.38,8.11,1576231
54.58,2.72,211.22,8.11,2284846
51.45,2.73,211.02,8.11,639577
62.27,2.72,210.82,7.81,506928
65.86,2.77,210.62,7.81,633710
66.32,2.81,210.49,7.81,647608
64.84,2.8,210.44,7.81,860397
67.41,2.78,210.39,7.81,122024
72.55,2.84,210.34,7.81,805445
74.78,2.85,210.34,7.81,1318749
76.44,2.83,210.62,7.81,1200721
80.44,2.76,210.9,7.81,-212715
80.69,2.7,211.18,7.81,1450318
80.43,2.67,211.46,7.81,1120208
84.11,2.64,211.45,7.81,923384
84.34,2.65,211.34,7.81,773111
80.91,2.67,211.22,7.79,686591
80.48,2.64,211.11,7.79,1564392
83.15,2.62,211.1,7.79,1690267
83.36,2.61,211.24,7.79,819040
81.84,2.64,211.37,7.79,1534093
87.16,2.63,211.5,7.79,136055
87,2.69,211.64,7.79,1361106
86.65,2.66,211.6,7.79,606853
85.22,2.62,211.57,7.79,498757
81.21,2.58,211.53,7.79,718443
78.69,2.56,211.5,7.79,1783865
82.11,2.58,211.52,7.79,1242361
80.94,2.62,211.6,7.79,905451
71.89,2.6,211.67,7.84,845565
63.93,2.63,211.75,7.84,692718
67.18,2.72,211.81,7.84,-85655
69.86,2.72,211.86,7.84,1783010
69.64,2.72,211.91,7.84,1567421
58.74,2.69,211.96,7.84,807897
59.61,2.73,212,7.84,971275
51.41,2.77,211.89,7.84,570107
64.52,2.73,211.75,7.84,2282102
49.27,2.71,211.61,7.84,1117823
46.33,2.84,211.47,7.84,319028
49.84,2.87,211.41,7.84,1034788
52.33,2.89,211.41,7.84,931448
48.43,2.94,211.4,7.84,1446814
48.27,2.98,211.4,7.74,-19906
35.4,2.98,211.46,7.74,1351129
44.04,3.02,211.83,7.74,1208134
43.83,3.01,212.2,7.74,-120555
42.27,2.99,212.57,7.74,486687
36.39,3.02,212.94,7.74,993659
57.36,3.04,213.25,7.74,621368
62.9,3.06,213.54,7.74,920558
59.58,3.29,213.82,7.74,1036695
53.56,3.46,214.11,7.74,412598
62.76,3.49,214.36,7.74,525358
69.97,3.47,214.6,7.74,1290717
59.17,3.52,214.84,7.68,463462
67.84,3.62,215.07,7.68,979063
71.27,3.74,215.29,7.68,1076422
72.99,3.81,215.46,7.68,2032969
72.03,3.81,215.63,7.68,876746
64.61,3.91,215.8,7.68,1712860
75.64,3.9,215.96,7.68,290262
67.63,3.91,215.73,7.68,686130
77.72,3.79,215.5,7.68,776658
83,3.7,215.27,7.68,1358671
83.13,3.65,215.04,7.68,571728
86.41,3.64,215,7.68,958598
83.58,3.59,215.09,7.68,896707
85.55,3.52,215.18,7.96,663126
85.83,3.48,215.28,7.96,947844
88.54,3.58,215.36,7.96,1133309
85.77,3.65,215.42,7.96,651251
86.83,3.68,215.48,7.96,1307528
91.65,3.68,215.54,7.96,91765
90.76,3.64,215.61,7.96,1406022
89.94,3.55,215.67,7.96,915946
87.96,3.52,215.73,7.96,216305
87.83,3.53,215.8,7.96,1439273
76,3.55,215.86,7.96,610686
79.94,3.53,216.04,7.96,1357771
75.8,3.47,216.38,7.96,438000
79.69,3.36,216.71,7.96,1553268
69.31,3.29,217.05,7.87,2367483
71.74,3.27,217.36,7.87,1287249
63.71,3.35,217.52,7.87,534842
66.57,3.37,217.68,7.87,1442182
54.98,3.33,217.84,7.87,633406
59.11,3.3,218,7.87,718456
62.25,3.31,218.22,7.87,2096819
60.14,3.24,218.47,7.87,628215
48.91,3.17,218.71,7.87,422493
43.93,3.16,218.96,7.87,2004357
51.63,3.16,219.18,7.87,589542
47.96,3.11,219.36,7.87,1422888
44.55,3.13,219.54,7.87,990955
49.01,3.16,219.71,7.35,704405
48.53,3.26,219.89,7.35,827927
54.11,3.27,219.99,7.35,1757592
54.26,3.29,220.08,7.35,638016
56.55,3.36,220.17,7.35,749674
48.02,3.41,220.27,7.35,1053407
45.32,3.51,220.43,7.35,873617
57.25,3.56,220.64,7.35,1597236
60.96,3.63,220.85,7.35,948989
58.76,3.67,221.06,7.35,1076850
64.74,3.73,221.21,7.35,614865
65.93,3.79,221.29,7.35,811481
67.61,3.85,221.36,7.35,1557712
70.43,3.89,221.44,7.14,1025601
69.07,3.89,221.51,7.14,1090566
66.76,3.88,221.56,7.14,1206455
67.23,3.81,221.62,7.14,105579
75.55,3.75,221.67,7.14,1316935
73.77,3.69,221.73,7.14,815722
70.33,3.63,221.74,7.14,2257759
77.22,3.56,221.74,7.14,1107875
77.95,3.5,221.75,7.14,668520
78.3,3.45,221.75,7.14,1687738
79.35,3.39,221.76,7.14,596605
78.39,3.35,221.8,7.14,1579512
84.88,3.29,221.84,7.14,-469442
81.57,3.23,221.88,6.91,526714
77.12,3.26,221.92,6.91,882131
80.42,3.31,221.93,6.91,540596
82.66,3.41,221.94,6.91,1342031
86.11,3.42,221.95,6.91,1634584
85.05,3.49,221.96,6.91,1250267
84.85,3.57,222.04,6.91,1553464
77.66,3.62,222.17,6.91,1693351
80.49,3.64,222.31,6.91,1736723
83.96,3.73,222.44,6.91,271594
74.97,3.72,222.58,6.91,1182049
69.87,3.72,222.78,6.91,714363
76.08,3.67,222.98,6.91,1855661
68.55,3.62,223.18,6.57,-73217
62.99,3.6,223.38,6.57,748836
67.97,3.59,223.43,6.57,1980910
69.16,3.51,223.44,6.57,723464
40.19,2.57,210.75,8.32,611202
38.49,2.55,210.9,8.32,1168476
39.69,2.51,210.95,8.32,117385
46.1,2.56,210.98,8.32,241927
47.17,2.62,211.01,8.32,1079112
57.56,2.67,211.04,8.32,588669
54.52,2.72,210.87,8.32,1608831
51.26,2.73,210.68,8.32,1041212
63.27,2.72,210.48,8.2,608927
65.41,2.77,210.28,8.2,482528
68.07,2.81,210.15,8.2,668505
65.11,2.8,210.1,8.2,1611579
66.98,2.78,210.05,8.2,448843
71.28,2.84,210,8.2,1227735
73.31,2.85,210,8.2,410170
74.83,2.83,210.28,8.2,259484
81.13,2.76,210.56,8.2,806282
81.81,2.7,210.83,8.2,1229173
83.4,2.67,211.11,8.2,734366
85.81,2.64,211.11,8.2,755964
86.26,2.65,211,8.2,1642968
82.74,2.67,210.88,8.1,321730
