Design Revenue
A 21.89
A 0
A 0
A 30.17
A 65.79
A 0
A 0
A 0
A 0
A 1.08
A 54.72
A 0
A 0
A 0
A 56.16
A 0
A 28.83
A 21.28
A 0
A 0
A 20.23
A 0
A 105.19
A 0
A 84.86
A 2.02
A 46.72
A 35.83
A 26.01
A 23.21
A 45.75
A 0
A 0
A 67.04
A 68.43
A 37.78
A 87.11
A 31.05
A 15.83
A 0
A 81.89
A 3.61
A 48.75
A 0
A 37.1
A 0
A 55.72
A 0
A 56.65
A 61.48
A 0.67
A 6.3
A 67.31
A 48.92
A 10.54
A 0
A 0
A 0
A 0
A 4.6
A 123.7
A 0
A 0
A 41.76
A 0
A 57.82
A 0
A 31.49
A 0
A 0
A 0.88
A 0
A 0
A 67.45
A 89.76
A 0
A 53.53
A 47.98
A 71.97
A 0
A 0
A 0
A 10.45
A 26
A 34.48
A 23.84
A 33.85
A 0
A 85.63
A 125.96
A 64.14
A 0
A 0
A 46.92
A 0
A 0
A 39.42
A 41.73
A 35.15
A 0
A 33.88
A 0
A 0
A 0
A 0
A 0
A 68.78
A 13.92
A 60.29
A 13.16
A 34
A 0
A 124.38
A 0
A 21.15
A 0
A 40.03
A 0
A 0
A 0
A 171.68
A 9.36
A 70.15
A 59.86
A 0
A 27.54
A 0
A 23.48
A 7.21
A 0
A 0
A 0
A 23.08
A 0.89
A 0
A 92.48
A 9.4
A 2.55
A 0
A 0
A 0
A 0
A 5.16
A 0
A 0
A 31.05
A 0
A 77.94
A 66.88
A 0
A 19.72
A 0
A 0
A 0
A 88.86
A 22.03
A 67.12
A 0
A 0
A 37.32
A 50.97
A 0
A 10.61
A 0
A 7.62
A 42.14
A 26.25
A 33.8
A 0
A 0
A 49.4
A 0
A 0
A 0
A 0
A 0
A 0.45
A 9.88
A 0
A 28.11
A 113.58
A 58.46
A 67.51
A 0
A 76.1
A 0
A 22.79
A 25.67
A 0
A 0
A 40.14
A 0
A 0
A 9.73
A 10.95
A 26.37
A 56.45
A 38.09
A 0
A 37.58
A 4.75
A 0
A 0
A 23.81
A 102.34
A 0
A 10.7
A 0
A 0
A 47.58
A 40.17
A 0
A 0
A 0
A 36.99
A 4.4
A 0
A 8.73
A 0
A 0
A 0
A 0
A 49.92
A 0
A 0
A 55.05
A 106.73
A 0
A 64.61
A 0
A 54.04
A 0
A 16.82
A 3.74
A 6.74
A 24.26
A 26.15
A 54.05
A 95.69
A 28.4
A 31.94
A 26.43
A 0
A 0
A 0
A 0
A 0
A 0
A 9.53
A 0
A 62.87
A 0
A 29.44
A 26.82
A 0.81
A 0
A 0
A 2.33
A 0
A 89.78
A 47.55
A 124.79
A 0
A 36.13
A 33.59
A 119.32
A 0
A 69.71
A 0
A 0
A 23.99
A 0
A 43.54
A 0
A 93.07
A 51.81
A 0
A 62.9
A 51.18
A 59.65
A 0
A 65.12
A 31.69
A 0
A 5.68
