Group Yawn
Treatment No
Treatment No
Treatment Yes
Treatment No
Treatment No
Treatment Yes
Treatment No
Treatment No
Treatment Yes
Treatment Yes
Treatment No
Treatment No
Treatment No
Treatment No
Treatment Yes
Treatment No
Treatment No
Treatment No
Treatment No
Treatment No
Treatment No
Treatment Yes
Treatment Yes
Treatment No
Treatment No
Treatment No
Treatment No
Treatment No
Treatment No
Treatment No
Treatment Yes
Treatment No
Treatment Yes
Treatment No
Treatment No
Treatment Yes
Treatment No
Treatment Yes
Treatment No
Treatment No
Treatment No
Treatment Yes
Treatment No
Treatment No
Treatment No
Treatment Yes
Treatment No
Treatment Yes
Treatment Yes
Treatment Yes
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control Yes
Control No
Control Yes
Control No
Control Yes
Control No
Control No
Control No
Control Yes
Control No
Control Yes
Control No
Control No
Control Yes
Control Yes
Control Yes
Control No
Control No
Control No
Control No
Control No
Control No
Control Yes
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control No
Control Yes
Control No
Control No
Control No
