Positive or Negative,Drug Type,concentration
Positive,Acetazolamide,1885
Positive,Acetazolamide,389
Positive,Acetazolamide,6328
Positive,Acetazolamide,390
Positive,Acetazolamide,48
Positive,Acetazolamide,473
Positive,Zopiclone,739
Positive,Acetazolamide,217
Positive,Acetazolamide,12725
Positive,Zolpidem,0.9
Positive,Bisoprolol,64
Positive,Acetazolamide,716
Positive,Acetazolamide,507
Positive,Prednisone,776
Positive,Prednisolone,3823
Positive,Acetazolamide,100
Positive,Acetazolamide,207
Positive,Acetazolamide,780
Positive,Hydrochlorothiazide,812
Positive,Acetazolamide,112
Positive,Acetazolamide,362035
Positive,Acetazolamide,15520
Positive,Acetazolamide,13150
Positive,Acetazolamide,252325
Positive,Zolpidem,7.3
Positive,Acetazolamide,51265
Positive,Acetazolamide,23968
Positive,Hydrochlorothiazide,954
Positive,Acetazolamide,316400
Positive,Zolpidem,4.4
Positive,Acetazolamide,43
Positive,Acetazolamide,193
Positive,Acetazolamide,27
Positive,Acetazolamide,14
Positive,Methylprednisolone,1226
Positive,Acetazolamide,59
Positive,Hydrochlorothiazide,4
Positive,Acetazolamide,2760
Positive,Acetazolamide,76975
Positive,Betamethasone,13
Positive,Acetazolamide,14770
Positive,Acetazolamide,55
Positive,Benzoylecgonine,37
Positive,Pseudoephedrine,879
Positive,Acetazolamide,42650
Positive,Zolpidem,7.4
Positive,Acetazolamide,189
Positive,Acetazolamide,32940
Positive,Acetazolamide,77075
Positive,Betamethasone,42
Positive,Acetazolamide,215
Positive,Acetazolamide,67650
Positive,Zolpidem,0.1
Positive,Acetazolamide,3405
Positive,Acetazolamide,89425
Positive,Metoprolol,34
Positive,Metoprolol acid,17
Positive,Acetazolamide,8162
Positive,Acetazolamide,28300
Positive,Acetazolamide,10050
Positive,Acetazolamide,14
Positive,Prednisone,630
Positive,Prednisolone,600
Positive,Acetazolamide,16
Positive,Acetazolamide,27
Positive,Acetazolamide,70
Positive,Acetazolamide,62
Positive,Zolpidem,0.5
Positive,Acetazolamide,3436
Positive,Betamethasone,20
Positive,Acetazolamide,351
Positive,Acetazolamide,115
Positive,Acetazolamide,15
Positive,Prednisone,430
Positive,Prednisolone,390
Positive,Acetazolamide,53
Positive,Acetazolamide,20
Positive,Acetazolamide,491100
Positive,Acetazolamide,50488
Positive,Acetazolamide,75
Positive,Acetazolamide,56
Positive,Acetazolamide,15
Positive,Acetazolamide,6460
Positive,Acetazolamide,15
Positive,Acetazolamide,13
Positive,Prednisone,95
Positive,Prednisolone,157
Positive,Acetazolamide,15250
Positive,Acetazolamide,1904
Positive,Zolpidem,0.3
Positive,Acetazolamide,43
Positive,Acetazolamide,138
Positive,Acetazolamide,21213
Positive,Acetazolamide,51
Positive,Acetazolamide,34
Positive,Acetazolamide,535
Positive,Acetazolamide,123
Positive,Acetazolamide,127650
Positive,Acetazolamide,22
Positive,Acetazolamide,25380
Positive,Acetazolamide,11
Positive,Acetazolamide,14
Positive,Hydrochlorothiazide,95
Positive,Acetazolamide,50800
Positive,Zolpidem,0.2
Positive,Acetazolamide,44050
Positive,Codeine,40
Positive,Morphine,6
Positive,Hydrocodone,480
Positive,Acetazolamide,53
Positive,Acetazolamide,15884
Positive,Hydrochlorothiazide,1506
Positive,Hydrochlorothiazide,128
Positive,Hydrochlorothiazide,10048
Positive,Benzoylecgonine,439
Positive,Prednisone,590
Positive,Prednisolone,240
Positive,Zolpidem,0.3
Positive,Zolpidem,0.8
Positive,THC,14
Positive,Zolpidem,2.3
Positive,Zaleplon,3
Positive,Zolpidem,12.6
Positive,Zolpidem,17.2
Positive,Zolpidem,0.1
Positive,Codeine,133
Positive,Morphine,19
Positive,Zolpidem,1.1
Positive,Zolpidem,2
Positive,Zolpidem,8.8
Positive,Zolpidem,0.7
Positive,Zolpidem,9.7
Positive,Prednisone,580
Positive,Prednisolone,1356
Positive,Zolpidem,2.6
Positive,Zolpidem,4.8
Positive,Caffeine,8200
Positive,Zolpidem,21.5
Positive,Zolpidem,8.2
Positive,Dihydrobupropion,665
Positive,Zolpidem,0.4
Positive,Zolpidem,127.2
Positive,Zolpidem,0.1
Positive,Zolpidem,8.3
Positive,Zolpidem,9.5
Positive,Zolpidem,0.7
Positive,Zolpidem,2.9
Positive,Zolpidem,4.8
Positive,Oxazepam,36
Positive,Oxazepam,108
Positive,Oxazepam,15.9
Positive,Oxazepam,3.3
Positive,Oxazepam,18
Positive,Oxazepam,222
Positive,Zopiclone,114
Positive,Zopiclone,68
Positive,Zopiclone,1
Positive,Zopiclone,3
Positive,Lorazepam,160
Positive,Bromazepam,23
Positive,Brotizolam,1
Positive,Prednisone,16
Positive,Prednisolone,9
Positive,THC,14
Positive,Prednisone,11
Positive,Budesonide,19
Positive,Budesonide,11
Positive,Methylprednisolone,51
Positive,Caffeine,8300
Positive,Caffeine,7400
Positive,Benzoylecgonine,68
Positive,Pseudoephedrine,21000
Positive,Ephedrine,9
Positive,N-ethylnicotinamide,299
Positive,Heptaminol,127
Positive,THC,152
Positive,THC,48
Positive,THC,76
Positive,THC,15
Positive,THC,34
Positive,THC,18
Positive,THC,137
Positive,THC,17
Positive,THC,12
Positive,THC,62
Positive,THC,27
Positive,THC,21
Positive,THC,53
Positive,THC,8
Positive,Codeine,11
Positive,Morphine,73
Positive,Codeine,11
Positive,Morphine,274
Positive,Codeine,1297
Positive,Morphine,123
Positive,Codeine,50
