"","Gender","Age","Status","Visit","Method","Time_spent","Closest_Shop","Membership_Card","Quality","Promotions","Ambiance","Wifi","Customer_Service","Social/Meetings","Return"
"1","Female","From 20 to 29","Student","Rarely","Dine in","Between 30 minutes to 1 hour","within 1km","Yes",4,5,5,4,4,3,"Yes"
"2","Female","From 20 to 29","Student","Rarely","Take away","Below 30 minutes","1km - 3km","Yes",4,4,4,4,5,2,"Yes"
"3","Male","From 20 to 29","Employed","Monthly","Dine in","Between 30 minutes to 1 hour","more than 3km","Yes",4,4,4,4,4,3,"Yes"
"4","Female","From 20 to 29","Student","Rarely","Take away","Below 30 minutes","more than 3km","No",2,4,3,3,3,3,"No"
"5","Male","From 20 to 29","Student","Monthly","Take away","Between 30 minutes to 1 hour","1km - 3km","No",3,4,2,2,3,3,"Yes"
"6","Female","From 20 to 29","Student","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","No",4,5,5,4,5,4,"Yes"
"7","Female","From 20 to 29","Student","Rarely","Dine in","Below 30 minutes","within 1km","Yes",5,5,5,3,5,5,"Yes"
"8","Male","From 20 to 29","Employed","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","Yes",4,3,3,3,3,3,"Yes"
"9","Female","From 20 to 29","Student","Rarely","Drive-thru","Below 30 minutes","more than 3km","Yes",5,4,4,4,4,4,"Yes"
"10","Male","From 20 to 29","Employed","Monthly","Take away","Below 30 minutes","more than 3km","No",4,3,4,3,3,4,"Yes"
"11","Female","From 20 to 29","Student","Rarely","Dine in","Below 30 minutes","more than 3km","No",4,4,5,3,3,4,"Yes"
"12","Female","From 20 to 29","Student","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","No",3,4,4,3,4,4,"No"
"13","Female","From 20 to 29","Student","Weekly","Take away","Below 30 minutes","1km - 3km","Yes",4,2,4,4,3,4,"Yes"
"14","Female","From 20 to 29","Student","Rarely","Take away","Below 30 minutes","1km - 3km","Yes",4,4,4,4,4,3,"Yes"
"15","Female","From 20 to 29","Student","Rarely","Take away","Below 30 minutes","within 1km","Yes",5,5,5,5,5,2,"No"
"16","Female","From 20 to 29","Employed","Rarely","Take away","Between 30 minutes to 1 hour","more than 3km","Yes",4,5,4,3,4,4,"No"
"17","Male","From 30 to 39","Employed","Monthly","Drive-thru","Below 30 minutes","within 1km","Yes",4,3,4,3,3,3,"Yes"
"18","Male","From 20 to 29","Employed","Rarely","Dine in","Below 30 minutes","within 1km","Yes",4,4,4,4,4,4,"Yes"
"19","Male","From 20 to 29","Employed","Weekly","Take away","Below 30 minutes","1km - 3km","Yes",4,4,5,5,5,5,"Yes"
"20","Female","From 20 to 29","Self-employed","Rarely","Take away","Below 30 minutes","1km - 3km","Yes",3,3,4,3,4,2,"Yes"
"21","Male","From 30 to 39","Employed","Rarely","Take away","Below 30 minutes","within 1km","Yes",2,5,3,3,4,3,"No"
"22","Female","From 20 to 29","Employed","Rarely","Dine in","Below 30 minutes","within 1km","No",5,4,3,3,4,5,"Yes"
"23","Male","From 20 to 29","Employed","Rarely","Dine in","More than 3 hours","within 1km","No",5,5,5,2,4,3,"No"
"24","Female","From 20 to 29","Student","Monthly","Drive-thru","Between 1 hour to 2 hours","1km - 3km","Yes",5,4,5,4,4,3,"Yes"
"25","Male","40 and above","Self-employed","Rarely","Dine in","Between 1 hour to 2 hours","more than 3km","No",4,4,4,3,3,5,"Yes"
"26","Male","From 30 to 39","Employed","Monthly","Dine in","Between 30 minutes to 1 hour","1km - 3km","Yes",4,1,4,4,5,4,"Yes"
"27","Male","From 30 to 39","Employed","Rarely","Drive-thru","Below 30 minutes","1km - 3km","No",4,4,4,4,4,2,"No"
"28","Male","From 20 to 29","Self-employed","Monthly","Take away","Below 30 minutes","more than 3km","No",5,4,4,3,4,3,"Yes"
"29","Male","40 and above","Self-employed","Weekly","Drive-thru","Below 30 minutes","1km - 3km","Yes",4,3,3,3,4,5,"Yes"
"30","Female","From 20 to 29","Employed","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","Yes",5,5,5,3,5,5,"Yes"
"31","Female","From 20 to 29","Employed","Monthly","Take away","Between 30 minutes to 1 hour","more than 3km","Yes",3,4,4,3,4,4,"Yes"
"32","Female","From 20 to 29","Employed","Weekly","Drive-thru","Below 30 minutes","within 1km","Yes",4,3,3,2,3,4,"Yes"
"33","Female","From 30 to 39","Employed","Rarely","Take away","Below 30 minutes","more than 3km","No",2,5,5,3,5,5,"Yes"
"34","Female","From 20 to 29","Employed","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","Yes",3,3,3,3,4,3,"No"
"35","Female","From 20 to 29","Employed","Rarely","Take away","Below 30 minutes","within 1km","No",3,4,3,4,4,3,"Yes"
"36","Female","From 20 to 29","Student","Rarely","Take away","Below 30 minutes","more than 3km","No",4,4,4,3,4,1,"No"
"37","Female","From 20 to 29","Self-employed","Rarely","Take away","Below 30 minutes","within 1km","No",3,4,4,5,5,2,"Yes"
"38","Male","Below 20","Student","Rarely","Dine in","Between 1 hour to 2 hours","more than 3km","No",5,3,4,4,3,5,"Yes"
"39","Male","From 20 to 29","Employed","Rarely","Take away","Below 30 minutes","more than 3km","Yes",4,4,4,4,4,4,"Yes"
"40","Male","From 30 to 39","Employed","Rarely","Take away","Below 30 minutes","within 1km","Yes",3,5,3,3,5,3,"Yes"
"41","Female","From 20 to 29","Employed","Never","Take away","Below 30 minutes","1km - 3km","No",4,4,4,4,4,4,"Yes"
