"","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
"1",1925800,410284,602578,184016,22622,2711522,1733742,2142970.09027657
"2",1565389,433798,606303,189342,23756,2888519,1776056,2019971.91087224
"3",1394457,418097,661106,187994,24668,3452545,1915143,1968569.72887678
"4",1149429,388831,652750,191442,23823,3578801,1973972,2127980.87821963
"5",1628648,432997,640074,185083,23844,3211707,1866172,1958945.99552568
"6",1689791,435465,669850,176619,24872,3167242,1883143,1964708.32127321
"7",1848832,425387,636501,174461,24612,3126261,1739433,1951521.6515038
"8",1577263,415438,601177,170551,20019,2995259,1725974,2018148.0903137
"9",1583206,367902,588279,167971,19088,2893834,1753209,1972114.88425331
"10",1449731,425683,664761,187940,23631,3644814,1863455,2168687.0587407
"11",1176545,406283,619214,183702,23651,3902883,1945921,2166049.94780678
"12",951834,418329,705085,190097,21667,4040834,2098805,2085595.7517363
"13",1029536,410190,692606,190092,23771,3886127,2128001,2174490.08947965
"14",974211,422472,680910,179761,19882,3850639,2124812,1917049.07577859
"15",1649469,415222,581670,176406,4482,3105699,1795753,1959343.02348698
"16",1640213,436745,592011,176883,4480,2917264,1827466,2059422.0706213
"17",1948840,457810,668426,173799,5958,3291253,1824205,1972464.26965516
"18",1575985,450454,760049,182276,6772,3709312,2030898,2177435.9626893
"19",1474919,425647,784747,191059,9272,4056549,2051164,2050335.87878434
"20",1651975,415721,798871,199155,6443,4012826,1999633,1994627.98308317
"21",1144915,453095,802032,202879,8579,4298686,2053365,1953309.06967434
"22",849328,466574,747684,183565,6364,4231212,2075885,2020162.1111582
"23",1070588,454490,745760,177006,5978,3920361,2049391,1828721.15884915
"24",1159237,486946,745256,188603,5290,4173227,2200544,2089741.03164609
"25",1530545,474251,756964,197144,4753,3863932,2096719,2058031.03005238
"26",1135693,487894,778413,185614,6808,4212246,2216772,2189846.87919471
"27",1551817,475319,795340,187516,6189,4233977,2246261,2034135.91512895
"28",1690211,456050,799290,195620,8437,4092477,2257098,2279463.74508855
"29",1334389,421168,771486,200683,14594,3980512,2165521,2307505.46035479
"30",937705,405375,744965,189219,13396,3716551,2098591,1866445.36891421
"31",1024990,403763,776213,179218,7573,3752666,2150828,2064083.93324213
"32",1060940,406385,841114,174463,10375,3751389,2125469,2027964.82215349
"33",1365471,403029,839372,176633,11475,3669282,1968646,2083607.73659668
"34",1007978,442665,901237,174992,9417,3928892,2113576,2069673.45918243
"35",1060514,429425,866168,175148,15430,3937575,2132276,2108490.94152578
"36",1615764,442126,807792,168070,17588,3171106,1803191,2184863.2130751
"37",1879791,408059,765886,184635,15426,3066443,1795437,1986711.55922521
"38",1903619,457105,826910,194534,20552,3478253,2009874,1944352.20945972
"39",1577754,482367,889760,211573,28035,4437504,2440555,2088933.98510148
"40",1006604,482387,865602,199899,24117,4709900,2466563,1995386.49561156
"41",689691,566458,866409,257473,23787,5007088,2422663,2078185.92464188
"42",771203,576920,856568,263910,24840,4640420,2307284,2061988.881463
"43",839604,582979,817409,257730,23333,4063353,2144947,2188418.84582599
"44",1125694,592181,795189,252995,19251,3870199,2055518,1939608.65740114
"45",1011771,615463,846861,260529,24301,4619708,2319510,1974087.35172891
"46",817284,610356,902921,259962,23846,4970662,2403364,2154875.43311179
"47",982185,553216,933246,263587,23120,5010062,2360374,2115102.14163905
"48",936005,546378,447726,262668,23621,5090144,2384252,2162134.79447093
"49",701442,601940,859037,260745,24087,5044097,2299398,1963769.4083462
"50",1033814,588519,864969,252374,23201,4619371,2230457,2174135.95189177
"51",1068166,592259,352498,257783,24696,4691219,2365380,1866565.05630095
