"","Country","City","CPI with 5 Dimensions","CPI with 4 Dimensions","Productivity Index","Quality of Life Index","Infrustructure Index","Environment Index","Equity Index"
"1","Armenia","Yerevan","0.778505051687848","0.7692466017676266","0.63535494230918754","0.85018775142800362","0.8695639341451652","0.74546896935933149","0.81666666666666665"
"2","Australia","Melbourne","0.90262350118521528","0.92454878663211781","0.867045756251977","0.87514313585677961","0.99623821735382756","0.96657381615598881","0.82000000000000006"
"3","Austria","Vienna","0.92535610571742277","0.93617052587542959","0.93852382460605044","0.88185441967564282","0.99623821735382756","0.93156778087279479","0.8833333333333333"
"4","Bangladesh","Dhaka","0.63261939050479621","0.59349479819283735","0.545195939008421","0.53939849508028759","0.67315837775793064","0.62674094707520889","0.81666666666666665"
"5","Belgium","Brussels","0.88278833877349638","0.90956571701287603","0.86210678282211084","0.86353752399180961","0.99749056993367968","0.9216908077994429","0.78333333333333333"
"6","Bolivia","La Paz","0.55133447008345104","0.56450152708654755","0.36261887060450737","0.62062360210156275","0.74450950450730302","0.6060543175487465","0.50166666666666671"
"7","Brazil","São Paulo","0.75662399743362108","0.83641065379898982","0.74246853655170053","0.80284517907309272","0.9182433292416774","0.89415041782729809","0.50666666666666682"
"8","Cambodia","Phnom Penh","0.67657872045895084","0.6657140357403758","0.54449122799234162","0.61299999999999999","0.72762220179735615","0.80890537604456825","0.72166666666666668"
"9","Cameroon","Yaoundé","0.61830463044120754","0.6229673863762798","0.49241940161924086","0.5550181945738949","0.66597594139339555","0.82748537604456829","0.60000000000000009"
"10","Canada","Toronto","0.88990052081028026","0.93400987872478691","0.87412130806788668","0.90675227126817459","0.9966150809686054","0.96342533974845956","0.73333333333333339"
"11","China","Beijing","0.79903608033096563","0.76188391013908174","0.6671398554794622","0.83648237304876449","0.91074966340320485","0.6629526462395543","0.96666666666666667"
"12","China","Shanghai","0.82575289049750411","0.83231961856246728","0.67130627044413083","0.83648237304876449","0.89975257471740044","0.94986072423398327","0.8"
"13","Côte d'Ivoire","Abidjan","0.57763807282130208","0.59886269706936024","0.45224538604534203","0.43998685483690719","0.76725981165269153","0.842466713091922","0.50000000000000011"
"14","Czech Republic","Prague","0.87079391424009178","0.88218897301131249","0.85503336074555558","0.77107180875403158","0.99245235076242755","0.92567588539594114","0.82666666666666666"
"15","Denmark","Copenhagen","0.91326389794805551","0.91117520307218502","0.85505124787862041","0.87054619404361477","0.99749056993367968","0.92835654596100281","0.92166666666666675"
"16","Egypt","Cairo","0.72226263727920237","0.73012080690762793","0.67867504547817425","0.74286470648230896","0.91560776907275687","0.6155988857938719","0.69166666666666665"
"17","Ethiopia","Addis Ababa","0.50143316123982729","0.56398124894365276","0.50303185579168697","0.533657613118518","0.52063410491435702","0.7238821169916434","0.31333333333333346"
